================================================================================
SCHEMA
--------------------------------------------------------------------------------
ENTITY TYPES: 22 types
  Abbreviation
  AlternativeName
  Application_Creation
  Application_Deposition
  Application_Mention
  Application_Usage
  Citation
  Developer
  Extension
  License
  OperatingSystem_Mention
  OperatingSystem_Usage
  PlugIn_Creation
  PlugIn_Deposition
  PlugIn_Mention
  PlugIn_Usage
  ProgrammingEnvironment_Mention
  ProgrammingEnvironment_Usage
  Release
  SoftwareCoreference_Deposition
  URL
  Version
--------------------------------------------------------------------------------
RELATION TYPES: 11 types
  Abbreviation_of(
    Abbreviation|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  AlternativeName_of(
    AlternativeName|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Citation_of(
    Citation,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Developer_of(
    Developer,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Extension_of(
    Extension,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  License_of(
    License,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  PlugIn_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Release_of(
    Release,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Specification_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  URL_of(
    URL,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Version_of(
    Version,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
================================================================================
train/Creation_sentences: 66 units
  PMC1283974:    862 chars, 14 entities,  5 relations
  PMC5570431:   7168 chars,  5 entities,  3 relations
  PMC5574543:   9737 chars,  7 entities,  3 relations
  PMC5587334:  18248 chars,  7 entities,  2 relations
  PMC5590882:   2871 chars,  2 entities,  1 relations
  PMC5597179:   6826 chars,  3 entities,  2 relations
  PMC5624616:  16218 chars, 18 entities, 11 relations
  PMC5645096:   4256 chars,  0 entities,  0 relations
  PMC5653292:  28893 chars, 33 entities, 19 relations
  PMC5665509:   4774 chars,  2 entities,  1 relations
  PMC5678726:   5166 chars,  2 entities,  1 relations
  PMC5720745:   6222 chars,  5 entities,  3 relations
  PMC5736195:   7571 chars,  2 entities,  1 relations
  PMC5739347:   6357 chars,  4 entities,  3 relations
  PMC5749746:   8303 chars,  4 entities,  3 relations
  PMC5815613:  15800 chars,  8 entities,  4 relations
  PMC5858755:   8880 chars,  5 entities,  3 relations
  PMC5860757:   4432 chars,  5 entities,  3 relations
  PMC5877873:   8045 chars,  6 entities,  4 relations
  PMC5886456:   7251 chars,  3 entities,  2 relations
  PMC5890973:  10406 chars,  0 entities,  0 relations
  PMC5903639:   7570 chars,  0 entities,  0 relations
  PMC5905982:   8359 chars,  5 entities,  4 relations
  PMC5912749:   9042 chars, 30 entities, 12 relations
  PMC5922557:   6571 chars,  2 entities,  1 relations
  PMC5922579:  35161 chars, 44 entities, 21 relations
  PMC5965841:   7468 chars,  6 entities,  4 relations
  PMC5976182:   3772 chars,  3 entities,  2 relations
  PMC5988334:  21452 chars, 12 entities,  0 relations
  PMC5995370:  18997 chars,  0 entities,  0 relations
  PMC6016926:   6857 chars,  3 entities,  2 relations
  PMC6059445:   3909 chars,  3 entities,  0 relations
  PMC6063436:   6096 chars,  6 entities,  4 relations
  PMC6066197:   5060 chars,  0 entities,  0 relations
  PMC6084954:   6212 chars,  3 entities,  2 relations
  PMC6093656:   4073 chars,  2 entities,  1 relations
  PMC6097700:  10595 chars, 18 entities,  4 relations
  PMC6122792:   5863 chars,  3 entities,  2 relations
  PMC6152971:  13098 chars,  3 entities,  2 relations
  PMC6157871:   8245 chars,  2 entities,  1 relations
  PMC6173405:   9924 chars,  3 entities,  2 relations
  PMC6185835:  10703 chars,  6 entities,  3 relations
  PMC6188870:  11024 chars,  2 entities,  0 relations
  PMC6218194:   6813 chars,  2 entities,  1 relations
  PMC6224090:   4941 chars,  2 entities,  1 relations
  PMC6235347:  12853 chars, 15 entities, 12 relations
  PMC6239323:   7869 chars, 11 entities,  7 relations
  PMC6258130:   6282 chars,  0 entities,  0 relations
  PMC6269088:  12481 chars, 16 entities,  8 relations
  PMC6283531:   5340 chars,  2 entities,  1 relations
  PMC6291126:   6723 chars,  3 entities,  2 relations
  PMC6301656:   9294 chars,  4 entities,  2 relations
  PMC6307725:   6000 chars,  0 entities,  0 relations
  PMC6312331:   6124 chars,  3 entities,  1 relations
  PMC6314571:  11867 chars,  0 entities,  0 relations
  PMC6333370:   4892 chars,  4 entities,  3 relations
  PMC6334909:   9853 chars,  4 entities,  3 relations
  PMC6343886:  11595 chars,  6 entities,  4 relations
  PMC6347236:  11034 chars,  3 entities,  2 relations
  PMC6358157:  13906 chars,  2 entities,  1 relations
================================================================================
devel/PLoS_methods: 96 units
  PMC1939732:   7348 chars,  6 entities,  3 relations
  PMC2614476:   2375 chars,  0 entities,  0 relations
  PMC2661960:   3668 chars,  1 entities,  0 relations
  PMC2878316:   6697 chars,  0 entities,  0 relations
  PMC2943469:  11949 chars,  0 entities,  0 relations
  PMC3029269:  10772 chars,  3 entities,  2 relations
  PMC3078911:  10459 chars,  0 entities,  0 relations
  PMC3084698:   6546 chars,  9 entities,  4 relations
  PMC3280282:   3051 chars,  0 entities,  0 relations
  PMC3282691:   7681 chars,  3 entities,  2 relations
  PMC3303470:   6629 chars,  7 entities,  3 relations
  PMC3342258:   5307 chars,  2 entities,  1 relations
  PMC3355173:   5058 chars,  2 entities,  1 relations
  PMC3460928:  10971 chars, 10 entities,  5 relations
  PMC3528761:   8803 chars,  8 entities,  2 relations
  PMC3532431:   8400 chars,  3 entities,  2 relations
  PMC3536813:  11227 chars,  4 entities,  2 relations
  PMC3549981:  18096 chars,  6 entities,  4 relations
  PMC3555879:   5553 chars,  3 entities,  2 relations
  PMC3603876:  10002 chars,  8 entities,  4 relations
  PMC3641137:   8441 chars,  3 entities,  2 relations
  PMC3643955:   9246 chars,  7 entities,  4 relations
  PMC3701628:  11465 chars,  7 entities,  4 relations
  PMC3709901:   3818 chars,  2 entities,  1 relations
  PMC3792883:   8977 chars, 10 entities,  7 relations
  PMC3798718:   6613 chars,  3 entities,  2 relations
  PMC3948886:  10844 chars, 10 entities,  6 relations
  PMC3954587:  13059 chars,  9 entities,  4 relations
  PMC3976311:   8890 chars,  4 entities,  2 relations
  PMC3986106:   7171 chars,  4 entities,  2 relations
  PMC4006795:   9246 chars,  4 entities,  2 relations
  PMC4028276:  13424 chars,  4 entities,  1 relations
  PMC4047120:  14161 chars, 15 entities, 10 relations
  PMC4070976:   8223 chars,  0 entities,  0 relations
  PMC4079667:  16904 chars, 15 entities, 11 relations
  PMC4113310:   4504 chars,  2 entities,  0 relations
  PMC4161331:  10062 chars,  8 entities,  6 relations
  PMC4215978:  12253 chars,  0 entities,  0 relations
  PMC4226510:  10184 chars,  7 entities,  4 relations
  PMC4244083:   6512 chars,  3 entities,  2 relations
  PMC4257690:   5891 chars,  5 entities,  2 relations
  PMC4260846:   6388 chars,  0 entities,  0 relations
  PMC4309528:   9282 chars,  2 entities,  1 relations
  PMC4372295:   3998 chars,  0 entities,  0 relations
  PMC4390288:   6175 chars,  0 entities,  0 relations
  PMC4441448:   6887 chars,  0 entities,  0 relations
  PMC4465979:  11923 chars, 17 entities,  6 relations
  PMC4507865:   7690 chars,  1 entities,  0 relations
  PMC4511641:   7248 chars,  3 entities,  2 relations
  PMC4529226:  11823 chars, 24 entities, 14 relations
  PMC4592071:  16618 chars,  0 entities,  0 relations
  PMC4631323:   8062 chars,  2 entities,  1 relations
  PMC4669173:  12360 chars, 13 entities,  7 relations
  PMC4718669:  10931 chars, 21 entities,  6 relations
  PMC4727887:  12371 chars,  4 entities,  2 relations
  PMC4811420:   5573 chars,  0 entities,  0 relations
  PMC4831846:  13338 chars, 10 entities,  6 relations
  PMC4892500:   6818 chars, 24 entities, 12 relations
  PMC4900631:  25722 chars, 18 entities, 10 relations
  PMC4912062:   4025 chars,  2 entities,  0 relations
  PMC4981364:   8407 chars,  3 entities,  1 relations
  PMC4986939:  17334 chars,  0 entities,  0 relations
  PMC4988699:   7596 chars, 20 entities, 13 relations
  PMC4991820:   8953 chars,  6 entities,  0 relations
  PMC5003378:   5003 chars,  2 entities,  1 relations
  PMC5207403:  16333 chars,  2 entities,  1 relations
  PMC5271364:   5928 chars,  2 entities,  1 relations
  PMC5409177:   7238 chars,  2 entities,  1 relations
  PMC5435321:   8267 chars,  6 entities,  3 relations
  PMC5444625:  31842 chars,  9 entities,  5 relations
  PMC5460880:   7567 chars, 10 entities,  7 relations
  PMC5576674:   8480 chars,  3 entities,  2 relations
  PMC5587303:  14609 chars,  5 entities,  0 relations
  PMC5591006:   8271 chars, 25 entities, 13 relations
  PMC5626515:   9862 chars,  0 entities,  0 relations
  PMC5633175:  10804 chars, 11 entities,  7 relations
  PMC5706721:  14659 chars, 10 entities,  6 relations
  PMC5734747:  28173 chars,  2 entities,  1 relations
  PMC5774789:   8345 chars,  3 entities,  2 relations
  PMC5841655:   6659 chars,  3 entities,  2 relations
  PMC5875871:   7709 chars,  3 entities,  1 relations
  PMC5886419:   3875 chars,  6 entities,  3 relations
  PMC5983414:  10087 chars,  0 entities,  0 relations
  PMC6033422:   6852 chars,  3 entities,  2 relations
  PMC6042701:  26375 chars, 11 entities,  6 relations
  PMC6054378:   6150 chars,  0 entities,  0 relations
  PMC6061979:  12147 chars,  6 entities,  2 relations
  PMC6086460:   7975 chars,  3 entities,  2 relations
  PMC6104922:   6727 chars,  0 entities,  0 relations
  PMC6147404:  17356 chars,  0 entities,  0 relations
  PMC6147600:  11737 chars, 23 entities, 11 relations
  PMC6169876:   7970 chars, 14 entities, 10 relations
  PMC6181388:   7928 chars,  0 entities,  0 relations
  PMC6261107:   5269 chars,  3 entities,  2 relations
  PMC6312286:   5717 chars,  5 entities,  4 relations
  PMC6345421:  23137 chars, 50 entities, 26 relations
================================================================================
test/PLoS_methods: 96 units
  PMC1088287:   4009 chars,  0 entities,  0 relations
  PMC1831734:  10464 chars,  8 entities,  6 relations
  PMC2721656:   6770 chars,  9 entities,  6 relations
  PMC2731885:   6321 chars,  7 entities,  3 relations
  PMC3111463:   5187 chars,  3 entities,  2 relations
  PMC3187751:   8655 chars,  0 entities,  0 relations
  PMC3305323:   6011 chars,  0 entities,  0 relations
  PMC3341400:  14112 chars,  3 entities,  2 relations
  PMC3355143:   9954 chars,  5 entities,  3 relations
  PMC3393741:   7307 chars,  3 entities,  2 relations
  PMC3407080:   6243 chars,  0 entities,  0 relations
  PMC3420877:  10872 chars,  7 entities,  4 relations
  PMC3425502:  11524 chars,  2 entities,  1 relations
  PMC3431302:  15784 chars,  9 entities,  5 relations
  PMC3466236:  13543 chars,  5 entities,  3 relations
  PMC3498108:  10929 chars, 10 entities,  7 relations
  PMC3509157:   5470 chars,  5 entities,  2 relations
  PMC3515589:  15230 chars, 15 entities,  9 relations
  PMC3579796:  20296 chars,  2 entities,  1 relations
  PMC3587422:   7273 chars,  4 entities,  2 relations
  PMC3594295:   6722 chars,  3 entities,  2 relations
  PMC3621674:   5844 chars,  5 entities,  2 relations
  PMC3655978:  12181 chars,  2 entities,  0 relations
  PMC3660501:  12476 chars,  4 entities,  2 relations
  PMC3664640:   7418 chars, 16 entities, 11 relations
  PMC3669023:  10047 chars,  3 entities,  2 relations
  PMC3683044:  13355 chars,  6 entities,  3 relations
  PMC3747168:   5768 chars,  0 entities,  0 relations
  PMC3827111:   8342 chars, 21 entities,  1 relations
  PMC3885597:  10648 chars, 17 entities, 12 relations
  PMC3893159:   8123 chars,  2 entities,  1 relations
  PMC3954845:  14748 chars, 10 entities,  7 relations
  PMC3960144:   7766 chars,  0 entities,  0 relations
  PMC3995918:   3902 chars,  3 entities,  2 relations
  PMC4079709:   9244 chars,  1 entities,  0 relations
  PMC4081795:  17669 chars,  7 entities,  4 relations
  PMC4169449:  12157 chars, 13 entities,  8 relations
  PMC4186879:  14415 chars, 15 entities,  8 relations
  PMC4218787:   6411 chars,  3 entities,  2 relations
  PMC4218810:  11205 chars,  2 entities,  1 relations
  PMC4300093:   7376 chars,  7 entities,  4 relations
  PMC4376384:   6403 chars, 10 entities,  7 relations
  PMC4398396:  15561 chars,  8 entities,  5 relations
  PMC4399912:   5220 chars,  3 entities,  2 relations
  PMC4436225:   8461 chars, 11 entities,  9 relations
  PMC4460128:   4662 chars, 25 entities, 13 relations
  PMC4520598:   3856 chars,  0 entities,  0 relations
  PMC4546620:  10245 chars,  9 entities,  4 relations
  PMC4552758:  25606 chars,  9 entities,  5 relations
  PMC4574966:  15074 chars, 19 entities, 10 relations
  PMC4701393:   7656 chars,  3 entities,  2 relations
  PMC4718591:  10338 chars,  0 entities,  0 relations
  PMC4721870:   7783 chars,  7 entities,  4 relations
  PMC4726623:  23963 chars, 10 entities,  5 relations
  PMC4755572:  15140 chars,  2 entities,  1 relations
  PMC4778929:  13505 chars,  3 entities,  1 relations
  PMC4784788:   9470 chars, 31 entities, 19 relations
  PMC4841599:   3479 chars,  2 entities,  1 relations
  PMC4847873:  22521 chars, 70 entities, 35 relations
  PMC4927112:   6422 chars,  0 entities,  0 relations
  PMC4965155:   8330 chars,  0 entities,  0 relations
  PMC4999232:  13132 chars, 18 entities, 13 relations
  PMC5023186:   6107 chars,  3 entities,  1 relations
  PMC5096663:   8468 chars, 18 entities, 12 relations
  PMC5156411:  12891 chars,  4 entities,  3 relations
  PMC5161364:   5943 chars,  2 entities,  1 relations
  PMC5167352:   5352 chars,  5 entities,  3 relations
  PMC5291392:   6264 chars,  4 entities,  2 relations
  PMC5312950:   3351 chars,  0 entities,  0 relations
  PMC5342184:  11909 chars,  3 entities,  2 relations
  PMC5381785:  11254 chars, 11 entities,  1 relations
  PMC5398504:   2618 chars,  8 entities,  4 relations
  PMC5453689:   5449 chars,  4 entities,  2 relations
  PMC5493374:  18056 chars,  0 entities,  0 relations
  PMC5587288:  22704 chars,  1 entities,  0 relations
  PMC5602626:   9480 chars,  6 entities,  4 relations
  PMC5655440:   6272 chars,  0 entities,  0 relations
  PMC5720778:   7770 chars,  3 entities,  2 relations
  PMC5744934:   5946 chars,  6 entities,  4 relations
  PMC5746224:   3099 chars,  0 entities,  0 relations
  PMC5811218:   9439 chars, 11 entities,  8 relations
  PMC5843234:   2689 chars,  4 entities,  2 relations
  PMC5862520:   2255 chars, 12 entities,  7 relations
  PMC5870943:  11174 chars,  7 entities,  6 relations
  PMC5973846:   4200 chars,  3 entities,  2 relations
  PMC6028105:   6539 chars,  0 entities,  0 relations
  PMC6062014:   7979 chars,  3 entities,  2 relations
  PMC6110470:  10885 chars, 48 entities, 25 relations
  PMC6112653:  10873 chars,  6 entities,  3 relations
  PMC6136735:   3783 chars,  6 entities,  4 relations
  PMC6147453:   3609 chars,  3 entities,  2 relations
  PMC6214541:   5005 chars,  3 entities,  1 relations
  PMC6319765:  13614 chars, 11 entities,  7 relations
  PMC6328161:   6360 chars,  4 entities,  2 relations
  PMC6338373:   8004 chars,  4 entities,  2 relations
  PMC6353544:  12264 chars,  9 entities,  4 relations
================================================================================
train/PLoS_sentences: 407 units
  PMC2478709:    325 chars,  0 entities,  0 relations
  PMC2574410:    119 chars,  3 entities,  2 relations
  PMC2582449:    262 chars, 12 entities,  8 relations
  PMC2695008:    269 chars,  8 entities,  6 relations
  PMC2715862:     76 chars,  5 entities,  2 relations
  PMC2771898:     84 chars,  2 entities,  1 relations
  PMC2799661:     57 chars,  3 entities,  1 relations
  PMC2808254:    132 chars,  3 entities,  2 relations
  PMC2841167:    200 chars,  2 entities,  0 relations
  PMC2844416:    128 chars,  2 entities,  1 relations
  PMC2864761:     77 chars,  4 entities,  2 relations
  PMC2942830:    320 chars,  4 entities,  2 relations
  PMC2958837:    208 chars,  3 entities,  2 relations
  PMC2994755:    296 chars,  1 entities,  0 relations
  PMC3001856:     81 chars,  1 entities,  0 relations
  PMC3022014:    191 chars,  8 entities,  4 relations
  PMC3043001:    153 chars,  3 entities,  2 relations
  PMC3071834:     49 chars,  2 entities,  0 relations
  PMC3082537:    321 chars,  2 entities,  1 relations
  PMC3113910:    165 chars,  4 entities,  2 relations
  PMC3144874:     67 chars,  2 entities,  1 relations
  PMC3146533:    159 chars,  1 entities,  0 relations
  PMC3153932:    290 chars,  2 entities,  1 relations
  PMC3154278:    115 chars,  3 entities,  2 relations
  PMC3166128:    239 chars,  2 entities,  1 relations
  PMC3177863:    104 chars,  3 entities,  2 relations
  PMC3178585:     43 chars,  2 entities,  1 relations
  PMC3187828:    109 chars,  3 entities,  2 relations
  PMC3202564:     62 chars,  3 entities,  2 relations
  PMC3202576:     75 chars,  3 entities,  2 relations
  PMC3206021:    206 chars,  0 entities,  0 relations
  PMC3237560:     50 chars,  2 entities,  1 relations
  PMC3257264:    307 chars,  7 entities,  4 relations
  PMC3281090:    114 chars,  6 entities,  4 relations
  PMC3281128:     75 chars,  3 entities,  2 relations
  PMC3290528:    114 chars,  3 entities,  2 relations
  PMC3291560:    684 chars,  6 entities,  3 relations
  PMC3296763:     86 chars,  3 entities,  2 relations
  PMC3305313:     69 chars,  2 entities,  1 relations
  PMC3310064:     57 chars,  2 entities,  1 relations
  PMC3310436:    141 chars,  5 entities,  3 relations
  PMC3338832:    149 chars,  6 entities,  5 relations
  PMC3353911:    156 chars,  6 entities,  4 relations
  PMC3356291:     86 chars,  3 entities,  2 relations
  PMC3366977:    148 chars,  4 entities,  2 relations
  PMC3371048:    178 chars,  3 entities,  2 relations
  PMC3379986:    170 chars,  2 entities,  1 relations
  PMC3391232:    164 chars,  4 entities,  3 relations
  PMC3411655:     94 chars,  3 entities,  2 relations
  PMC3416787:    107 chars,  5 entities,  3 relations
  PMC3419711:     97 chars,  2 entities,  1 relations
  PMC3446940:     97 chars,  3 entities,  2 relations
  PMC3466320:     66 chars,  3 entities,  1 relations
  PMC3469536:     75 chars,  3 entities,  2 relations
  PMC3485274:    184 chars,  3 entities,  2 relations
  PMC3485285:     60 chars,  1 entities,  0 relations
  PMC3490915:    142 chars,  6 entities,  4 relations
  PMC3492432:    111 chars,  4 entities,  2 relations
  PMC3496728:     79 chars,  1 entities,  0 relations
  PMC3498156:    123 chars,  3 entities,  2 relations
  PMC3504100:    170 chars,  4 entities,  2 relations
  PMC3507871:     41 chars,  3 entities,  2 relations
  PMC3507917:     91 chars,  4 entities,  2 relations
  PMC3509155:     74 chars,  4 entities,  2 relations
  PMC3519529:    167 chars,  5 entities,  3 relations
  PMC3526652:    136 chars,  2 entities,  1 relations
  PMC3531495:    109 chars,  0 entities,  0 relations
  PMC3534046:     77 chars,  2 entities,  1 relations
  PMC3541387:    141 chars,  3 entities,  2 relations
  PMC3559777:     88 chars,  4 entities,  2 relations
  PMC3561195:    132 chars,  2 entities,  1 relations
  PMC3562178:     77 chars,  2 entities,  1 relations
  PMC3569413:    186 chars,  3 entities,  2 relations
  PMC3575417:     63 chars,  2 entities,  1 relations
  PMC3576340:    130 chars,  4 entities,  2 relations
  PMC3577846:     81 chars,  2 entities,  1 relations
  PMC3581567:    140 chars,  3 entities,  2 relations
  PMC3584150:    242 chars,  0 entities,  0 relations
  PMC3591425:     89 chars,  3 entities,  2 relations
  PMC3596371:    152 chars,  3 entities,  2 relations
  PMC3613346:    158 chars,  3 entities,  1 relations
  PMC3634734:    245 chars,  3 entities,  2 relations
  PMC3641050:    125 chars,  3 entities,  2 relations
  PMC3647073:    174 chars,  1 entities,  0 relations
  PMC3660607:    159 chars,  6 entities,  4 relations
  PMC3661540:    105 chars,  2 entities,  1 relations
  PMC3661547:    100 chars,  2 entities,  1 relations
  PMC3662790:    149 chars,  4 entities,  3 relations
  PMC3670922:     52 chars,  2 entities,  1 relations
  PMC3675124:    172 chars,  4 entities,  3 relations
  PMC3676365:     83 chars,  5 entities,  4 relations
  PMC3679150:    265 chars,  1 entities,  0 relations
  PMC3688591:    148 chars,  4 entities,  2 relations
  PMC3691237:     43 chars,  2 entities,  1 relations
  PMC3694100:     54 chars,  2 entities,  1 relations
  PMC3739786:     57 chars,  2 entities,  1 relations
  PMC3742468:     65 chars,  3 entities,  2 relations
  PMC3743525:     76 chars,  3 entities,  2 relations
  PMC3745444:     44 chars,  2 entities,  1 relations
  PMC3756996:    276 chars,  6 entities,  4 relations
  PMC3759436:     72 chars,  2 entities,  1 relations
  PMC3760841:    168 chars,  1 entities,  0 relations
  PMC3762848:    178 chars,  3 entities,  2 relations
  PMC3767642:    102 chars,  3 entities,  2 relations
  PMC3797813:     76 chars,  5 entities,  3 relations
  PMC3805582:    142 chars,  3 entities,  2 relations
  PMC3808299:    274 chars,  2 entities,  1 relations
  PMC3834222:     95 chars,  1 entities,  0 relations
  PMC3846567:     66 chars,  3 entities,  2 relations
  PMC3862833:     42 chars,  1 entities,  0 relations
  PMC3866176:    182 chars,  3 entities,  2 relations
  PMC3873973:     84 chars,  3 entities,  2 relations
  PMC3877074:    245 chars,  0 entities,  0 relations
  PMC3879366:     65 chars,  2 entities,  1 relations
  PMC3880334:    102 chars,  3 entities,  2 relations
  PMC3893170:     42 chars,  2 entities,  1 relations
  PMC3897519:    166 chars,  6 entities,  4 relations
  PMC3897676:    132 chars,  2 entities,  1 relations
  PMC3899208:    315 chars,  0 entities,  0 relations
  PMC3903501:    114 chars,  5 entities,  3 relations
  PMC3906048:    203 chars,  4 entities,  3 relations
  PMC3914947:     68 chars,  5 entities,  3 relations
  PMC3921218:     61 chars,  3 entities,  2 relations
  PMC3923838:     76 chars,  2 entities,  1 relations
  PMC3937337:     76 chars,  3 entities,  2 relations
  PMC3938582:    192 chars,  4 entities,  1 relations
  PMC3946292:     40 chars,  3 entities,  1 relations
  PMC3948384:     93 chars,  3 entities,  2 relations
  PMC3963974:     95 chars,  4 entities,  2 relations
  PMC3965382:     93 chars,  5 entities,  3 relations
  PMC3974836:     99 chars,  3 entities,  2 relations
  PMC3976290:    177 chars,  2 entities,  1 relations
  PMC3979676:     73 chars,  2 entities,  1 relations
  PMC3983092:     80 chars,  3 entities,  2 relations
  PMC3984205:     57 chars,  2 entities,  1 relations
  PMC3986216:    220 chars,  0 entities,  0 relations
  PMC3988100:    171 chars,  2 entities,  1 relations
  PMC3995913:    162 chars,  5 entities,  3 relations
  PMC4008581:    455 chars,  7 entities,  5 relations
  PMC4010396:    108 chars,  4 entities,  2 relations
  PMC4014506:    156 chars,  6 entities,  4 relations
  PMC4016290:    121 chars,  1 entities,  0 relations
  PMC4019471:    109 chars,  4 entities,  3 relations
  PMC4019483:    311 chars,  1 entities,  0 relations
  PMC4020748:    299 chars,  3 entities,  2 relations
  PMC4031044:     91 chars,  1 entities,  0 relations
  PMC4055700:    197 chars,  4 entities,  2 relations
  PMC4059755:     92 chars,  3 entities,  2 relations
  PMC4069022:     65 chars,  2 entities,  1 relations
  PMC4081005:     40 chars,  2 entities,  1 relations
  PMC4094494:    145 chars,  1 entities,  0 relations
  PMC4100871:    289 chars,  3 entities,  2 relations
  PMC4102590:    165 chars,  3 entities,  2 relations
  PMC4103818:    176 chars,  4 entities,  2 relations
  PMC4113221:     95 chars,  3 entities,  2 relations
  PMC4116118:    132 chars,  3 entities,  2 relations
  PMC4117474:     51 chars,  3 entities,  2 relations
  PMC4128761:    146 chars,  5 entities,  3 relations
  PMC4133193:     44 chars,  2 entities,  1 relations
  PMC4143359:    148 chars,  1 entities,  0 relations
  PMC4146461:    455 chars,  6 entities,  3 relations
  PMC4151964:    458 chars,  2 entities,  0 relations
  PMC4152288:     96 chars,  3 entities,  2 relations
  PMC4154727:    107 chars,  3 entities,  2 relations
  PMC4162622:    108 chars,  3 entities,  2 relations
  PMC4182805:    252 chars,  1 entities,  0 relations
  PMC4190082:    285 chars,  5 entities,  3 relations
  PMC4208812:    134 chars,  4 entities,  3 relations
  PMC4226578:    112 chars,  1 entities,  0 relations
  PMC4264740:     58 chars,  2 entities,  1 relations
  PMC4274157:     97 chars,  4 entities,  2 relations
  PMC4335048:     91 chars,  3 entities,  2 relations
  PMC4342009:    202 chars,  5 entities,  3 relations
  PMC4364309:     94 chars,  2 entities,  1 relations
  PMC4366215:     97 chars,  5 entities,  3 relations
  PMC4370691:    103 chars,  2 entities,  1 relations
  PMC4373781:     96 chars,  4 entities,  3 relations
  PMC4383449:    157 chars,  5 entities,  3 relations
  PMC4390361:     43 chars,  3 entities,  2 relations
  PMC4398325:    158 chars,  3 entities,  1 relations
  PMC4416015:    647 chars,  2 entities,  1 relations
