================================================================================
sample: 50 units
  10471277: 2232 chars,  43 entity mentions, 20 relations
  16497876: 1191 chars,  16 entity mentions,  5 relations
   9928259: 1143 chars,  26 entity mentions,  5 relations
   2530096:  949 chars,  24 entity mentions,  4 relations
  22532505: 1162 chars,   6 entity mentions,  0 relations
  12742526: 1618 chars,  25 entity mentions,  4 relations
  22705396: 1465 chars,   5 entity mentions,  0 relations
  14508322: 2019 chars,  35 entity mentions, 22 relations
  23315277: 1528 chars,  19 entity mentions,  4 relations
  23550066: 1885 chars,  36 entity mentions, 10 relations
  23572528: 1840 chars,  42 entity mentions,  1 relations
  11792932: 3124 chars,  45 entity mentions,  2 relations
  23043184: 1776 chars,  45 entity mentions,  4 relations
  23643748: 1643 chars,  20 entity mentions,  0 relations
  15336276: 1191 chars,  13 entity mentions,  3 relations
  23174754: 1618 chars,   6 entity mentions,  0 relations
  23551329: 1858 chars,  32 entity mentions,  8 relations
  16477002: 1847 chars,  33 entity mentions,  1 relations
  17205056: 1461 chars,  26 entity mentions, 11 relations
  23041257: 1539 chars,  26 entity mentions, 12 relations
  12927775: 1271 chars,  15 entity mentions,  4 relations
  16774921: 1569 chars,  25 entity mentions, 11 relations
  20531964: 1538 chars,  19 entity mentions, 10 relations
  23361587: 1453 chars,  12 entity mentions,  0 relations
   7948825: 1119 chars,   9 entity mentions,  2 relations
  23535327:  406 chars,   7 entity mentions,  2 relations
   1680855: 2106 chars,  56 entity mentions,  8 relations
  23532918: 1795 chars,  28 entity mentions,  8 relations
  11034389: 1722 chars,  33 entity mentions,  3 relations
  17434872: 1871 chars,  43 entity mentions, 23 relations
  15358979: 1465 chars,  18 entity mentions,  2 relations
  19429089: 1173 chars,  32 entity mentions, 12 relations
  23411171:  949 chars,  13 entity mentions,  0 relations
  17408310: 2815 chars,  10 entity mentions,  2 relations
  10864881: 2005 chars,  48 entity mentions, 19 relations
  23567953:  634 chars,   5 entity mentions,  0 relations
  22982445: 1689 chars,  36 entity mentions, 22 relations
  20566645: 1874 chars,  34 entity mentions, 13 relations
  23033256: 1808 chars,  38 entity mentions,  0 relations
  12387707: 2171 chars,  23 entity mentions,  2 relations
  18381445: 1431 chars,  30 entity mentions,  6 relations
  17049513: 1667 chars,  29 entity mentions, 16 relations
  10493852:  955 chars,  15 entity mentions,  4 relations
  23316965: 1582 chars,  18 entity mentions,  1 relations
  23339625: 1378 chars,  23 entity mentions, 20 relations
  20226815: 1624 chars,  28 entity mentions,  8 relations
  17275903: 2404 chars,  37 entity mentions,  2 relations
  17429625: 3181 chars,  33 entity mentions, 16 relations
  17324336: 1744 chars,  25 entity mentions,  0 relations
   7582530: 2329 chars,  32 entity mentions, 10 relations
  23276150: 1667 chars,  23 entity mentions,  0 relations
  23123646: 1076 chars,  27 entity mentions,  2 relations
  10693877: 1721 chars,  13 entity mentions,  2 relations
  23611293: 1715 chars,   7 entity mentions,  0 relations
  23123250: 2149 chars,  27 entity mentions,  3 relations
  23564313: 1782 chars,  34 entity mentions, 19 relations
  10373451: 1413 chars,  37 entity mentions, 15 relations
  12907443: 1706 chars,  25 entity mentions,  7 relations
  23583257: 1340 chars,  32 entity mentions, 14 relations
  21475861: 1812 chars,  19 entity mentions,  3 relations
  23344961: 1472 chars,  31 entity mentions, 13 relations
   2833901: 2657 chars,  78 entity mentions, 53 relations
  23541637: 1315 chars,  41 entity mentions, 11 relations
  10727715: 1808 chars,  43 entity mentions,  6 relations
  23353748:  806 chars,  10 entity mentions,  0 relations
  23636303: 1920 chars,  26 entity mentions,  5 relations
  17658513: 2033 chars,  25 entity mentions, 10 relations
  15494035:  631 chars,  14 entity mentions,  0 relations
  22836881: 1740 chars,   2 entity mentions,  0 relations
  21262851: 2057 chars,  61 entity mentions, 30 relations
  23542513: 1752 chars,  52 entity mentions, 41 relations
  23582273:  839 chars,  10 entity mentions,  2 relations
  23131798:  891 chars,  11 entity mentions,  3 relations
  17397529: 2198 chars,  30 entity mentions,  0 relations
  12727196:  944 chars,  23 entity mentions, 11 relations
  12650833: 1441 chars,  34 entity mentions, 12 relations
  20185318: 1441 chars,  35 entity mentions, 46 relations
  15689518: 1084 chars,  20 entity mentions,  9 relations
  23578688: 1133 chars,  11 entity mentions,  4 relations
  23473030:  713 chars,   9 entity mentions,  0 relations
  12956944: 1626 chars,  31 entity mentions, 16 relations
  23397055: 1977 chars,  44 entity mentions,  8 relations
  11351021: 1753 chars,  29 entity mentions,  0 relations
  23605695: 1747 chars,  24 entity mentions,  5 relations
  23017388: 1236 chars,  19 entity mentions, 10 relations
  15777622: 1659 chars,  44 entity mentions, 11 relations
   2877081: 1192 chars,  21 entity mentions,  3 relations
  23172777: 1519 chars,  11 entity mentions,  5 relations
  23585058: 1474 chars,  25 entity mentions,  2 relations
  23578644: 1301 chars,  13 entity mentions,  0 relations
  23332447: 1783 chars,  19 entity mentions,  0 relations
  23305949: 1046 chars,  15 entity mentions,  0 relations
  18162179: 1201 chars,   4 entity mentions,  2 relations
  19549602: 1190 chars,  30 entity mentions, 16 relations
  14737100: 1684 chars,  51 entity mentions, 17 relations
  17409426: 1678 chars,  33 entity mentions, 10 relations
  15795320: 2030 chars,  42 entity mentions, 10 relations
  12850267: 1794 chars,  35 entity mentions, 13 relations
  23628791: 1517 chars,  26 entity mentions,  3 relations
  22983867: 1326 chars,  31 entity mentions, 22 relations
  12614192: 1355 chars,  15 entity mentions,  7 relations
  17545671: 1766 chars,  41 entity mentions, 15 relations
  23291630: 1261 chars,  17 entity mentions,  6 relations
  23618901: 2158 chars,  29 entity mentions,  3 relations
  23348500: 2013 chars,  32 entity mentions, 15 relations
  11961111: 1305 chars,  15 entity mentions,  6 relations
  10462128: 1798 chars,  37 entity mentions,  4 relations
  12724156: 1947 chars,  43 entity mentions,  6 relations
  22899102: 1925 chars,  32 entity mentions,  8 relations
  23265491: 1230 chars,  13 entity mentions,  2 relations
  16846546: 2301 chars,  42 entity mentions, 23 relations
  18715952: 1686 chars,  38 entity mentions, 17 relations
   8646863:  729 chars,   5 entity mentions,  1 relations
  23259985: 1738 chars,  19 entity mentions,  0 relations
  18282775: 2145 chars,  33 entity mentions,  3 relations
  23578584: 1198 chars,  21 entity mentions,  0 relations
  16702329: 1882 chars,  34 entity mentions,  8 relations
  17111172: 1885 chars,  37 entity mentions, 15 relations
  12373557: 1232 chars,  21 entity mentions,  4 relations
  23429912: 1859 chars,  40 entity mentions, 19 relations
  23446230: 1637 chars,  29 entity mentions, 10 relations
  23536521: 1256 chars,  23 entity mentions,  1 relations
  23293129: 1350 chars,  13 entity mentions,  2 relations
  23528251: 1419 chars,  34 entity mentions, 11 relations
  12671891: 1900 chars,  23 entity mentions,  8 relations
  16962597: 2096 chars,  35 entity mentions,  0 relations
  23147414: 1772 chars,  28 entity mentions,  4 relations
  23378624: 1926 chars,   9 entity mentions,  0 relations
  23023136: 1553 chars,  32 entity mentions,  4 relations
  22968082: 2305 chars,  11 entity mentions,  0 relations
  23393216: 1870 chars,  16 entity mentions,  2 relations
   8636122: 1450 chars,  31 entity mentions, 13 relations
   7885191: 2108 chars,  58 entity mentions, 14 relations
  15120421: 3123 chars,  54 entity mentions,  7 relations
  10891536: 2266 chars,  52 entity mentions, 14 relations
   1332478: 1296 chars,  13 entity mentions,  1 relations
  23292797: 1428 chars,  38 entity mentions,  0 relations
  23116965: 1828 chars,  25 entity mentions,  1 relations
  16920841: 1597 chars,  39 entity mentions, 14 relations
  23548896: 1272 chars,  27 entity mentions,  4 relations
  23391442: 1521 chars,  10 entity mentions,  0 relations
  23418087: 1849 chars,  33 entity mentions, 11 relations
  23000445: 1461 chars,  29 entity mentions, 17 relations
  23125284: 1656 chars,  32 entity mentions,  2 relations
   6687626: 1499 chars,  32 entity mentions,  2 relations
  23419638: 1455 chars,  41 entity mentions, 47 relations
   7680751: 2179 chars,  34 entity mentions,  3 relations
  23489521: 1634 chars,  15 entity mentions,  1 relations
  17284757: 1887 chars,  23 entity mentions,  3 relations
  10398211: 1517 chars,  25 entity mentions,  5 relations
   7824160: 1320 chars,  35 entity mentions, 13 relations
  23376140: 1063 chars,  30 entity mentions,  7 relations
  16864089: 1281 chars,  15 entity mentions,  2 relations
  23411217: 1252 chars,  12 entity mentions,  0 relations
  23123771: 1597 chars,  29 entity mentions,  0 relations
  14642426: 1113 chars,  20 entity mentions, 11 relations
  17352516: 1519 chars,  30 entity mentions, 14 relations
  23643883: 1876 chars,  31 entity mentions,  2 relations
  10095983: 1517 chars,  11 entity mentions,  3 relations
  23435915: 1574 chars,  30 entity mentions,  6 relations
  23333261: 1465 chars,  21 entity mentions,  5 relations
  23471540: 1562 chars,  18 entity mentions,  0 relations
  20091113: 1390 chars,  10 entity mentions,  2 relations
  23163726: 1731 chars,  16 entity mentions,  0 relations
  23384446: 1953 chars,  43 entity mentions,  6 relations
  17570561: 1453 chars,  24 entity mentions,  6 relations
  22580612: 1448 chars,  31 entity mentions,  0 relations
  23262035:  699 chars,   9 entity mentions,  0 relations
  17884974: 1935 chars,  35 entity mentions, 14 relations
  17159811: 1464 chars,  24 entity mentions,  4 relations
  23022324: 1746 chars,  20 entity mentions,  7 relations
   2855368: 1173 chars,  18 entity mentions,  3 relations
  18068977:  593 chars,  14 entity mentions,  4 relations
  23261590: 1895 chars,  41 entity mentions, 21 relations
  22370641: 1619 chars,  34 entity mentions,  9 relations
  23583884: 1777 chars,  32 entity mentions, 14 relations
  18093407: 1764 chars,  19 entity mentions,  4 relations
  10401556: 2232 chars,  45 entity mentions, 16 relations
   7768269: 1626 chars,  29 entity mentions,  3 relations
  11401111: 2156 chars,  32 entity mentions,  4 relations
  23146690: 1516 chars,  24 entity mentions, 12 relations
  23122079: 1353 chars,  36 entity mentions, 17 relations
  15898717: 2267 chars,  19 entity mentions,  2 relations
  22935616: 1909 chars,  63 entity mentions,  2 relations
  23642478:  941 chars,  17 entity mentions, 14 relations
  23063590: 1624 chars,  35 entity mentions, 18 relations
   7711211: 1244 chars,  29 entity mentions, 17 relations
  23552851: 1612 chars,  27 entity mentions, 15 relations
  23550028: 1599 chars,  23 entity mentions,  6 relations
  20541672: 2599 chars,  37 entity mentions,  0 relations
  16281286: 1690 chars,  16 entity mentions,  0 relations
  10444166: 1590 chars,  19 entity mentions,  3 relations
  23466232: 1092 chars,  14 entity mentions,  3 relations
  22865292: 1983 chars,  33 entity mentions,  1 relations
  23539296: 1528 chars,  39 entity mentions, 10 relations
  17549299: 2005 chars,  14 entity mentions,  0 relations
  23505146: 1090 chars,   5 entity mentions,  0 relations
  23631374:  659 chars,   6 entity mentions,  0 relations
  23609606: 1820 chars,  17 entity mentions,  6 relations
  14529460:  884 chars,  11 entity mentions,  0 relations
  17034761: 1422 chars,  32 entity mentions, 14 relations
   9094999: 1482 chars,  25 entity mentions,  5 relations
  23584948: 1502 chars,  11 entity mentions,  6 relations
  23521080: 1015 chars,  13 entity mentions,  8 relations
  16835395: 1762 chars,  29 entity mentions,  3 relations
  10207608: 1290 chars,  31 entity mentions, 31 relations
  23127916: 1936 chars,  25 entity mentions,  1 relations
  23238657: 1716 chars,  15 entity mentions,  0 relations
  23477570: 2320 chars,  24 entity mentions,  0 relations
  16972995: 1553 chars,   4 entity mentions,  0 relations
  22878908: 1415 chars,  29 entity mentions, 11 relations
  15199474: 1932 chars,  33 entity mentions, 13 relations
  15155769: 1378 chars,  36 entity mentions, 23 relations
   2226440: 1897 chars,  31 entity mentions, 18 relations
  23640283: 1774 chars,   9 entity mentions,  0 relations
  23256725: 1568 chars,  24 entity mentions,  3 relations
  12188035: 1810 chars,  23 entity mentions, 11 relations
   1322791:  751 chars,  13 entity mentions,  0 relations
  11089538: 2364 chars,  33 entity mentions,  5 relations
  15921304:  849 chars,  10 entity mentions,  3 relations
  23327877: 1606 chars,  32 entity mentions, 22 relations
  23192350: 2008 chars,  40 entity mentions,  1 relations
  23017392: 1222 chars,   6 entity mentions,  0 relations
   8242725:  874 chars,  17 entity mentions,  6 relations
  16633143: 2052 chars,  19 entity mentions,  2 relations
  22820907: 1223 chars,   8 entity mentions,  0 relations
  17616291: 1452 chars,  24 entity mentions,  0 relations
  23560442:  533 chars,   2 entity mentions,  0 relations
  23473681: 1320 chars,  22 entity mentions, 10 relations
  14767264: 1893 chars,  18 entity mentions,  9 relations
  23391485: 1546 chars,  14 entity mentions,  3 relations
  23473804: 1704 chars,  34 entity mentions, 10 relations
  22991330: 2058 chars,  10 entity mentions,  0 relations
  15121646: 2062 chars,  34 entity mentions, 12 relations
  12566304: 1563 chars,  34 entity mentions, 18 relations
  23590386: 1648 chars,  23 entity mentions,  0 relations
  20573261: 1653 chars,  27 entity mentions,  1 relations
  23561109: 1352 chars,   8 entity mentions,  0 relations
  17197042: 1466 chars,  25 entity mentions,  9 relations
  23291323: 1455 chars,  15 entity mentions,  2 relations
  23265892:  577 chars,  10 entity mentions,  3 relations
  12388748: 1540 chars,  23 entity mentions,  3 relations
  23580316: 1172 chars,  18 entity mentions,  0 relations
  12398910:  887 chars,  23 entity mentions,  8 relations
  23250811: 1831 chars,  40 entity mentions, 23 relations
  16916952: 1840 chars,  40 entity mentions,  7 relations
  12761285:  934 chars,  16 entity mentions,  0 relations
  15931605: 1856 chars,  21 entity mentions,  0 relations
  17418819: 2039 chars,  27 entity mentions,  4 relations
  23435358: 2631 chars,  60 entity mentions,  0 relations
  23609782: 3049 chars,   5 entity mentions,  0 relations
  23288049: 1834 chars,  21 entity mentions,  0 relations
   3440035: 1195 chars,  23 entity mentions, 11 relations
  23495205: 1124 chars,  23 entity mentions, 13 relations
  23438471: 1749 chars,   8 entity mentions,  0 relations
  23127600: 1425 chars,  16 entity mentions,  3 relations
   8263811: 2233 chars,  44 entity mentions, 11 relations
  23238103: 1906 chars,  26 entity mentions,  4 relations
   2886642: 1335 chars,  29 entity mentions,  2 relations
  23216335: 1390 chars,   2 entity mentions,  0 relations
  17475673: 1637 chars,  32 entity mentions, 13 relations
  11511086: 1631 chars,  30 entity mentions, 16 relations
   1352051: 1510 chars,   9 entity mentions,  0 relations
  23301860: 1577 chars,  11 entity mentions,  3 relations
  17959709: 1143 chars,  18 entity mentions, 11 relations
  23478800: 1978 chars,  58 entity mentions, 17 relations
   9890894: 1839 chars,  40 entity mentions,  6 relations
  15452358: 1657 chars,  22 entity mentions,  7 relations
  16884688:  710 chars,  15 entity mentions,  0 relations
  12504917: 1621 chars,  45 entity mentions, 15 relations
  16399380: 1852 chars,  30 entity mentions,  1 relations
  23395171: 1276 chars,  24 entity mentions,  0 relations
  17254025: 1310 chars,  12 entity mentions,  5 relations
  11906441: 3267 chars,  28 entity mentions,  6 relations
  10694244: 1546 chars,  38 entity mentions,  6 relations
  15951260: 1752 chars,  30 entity mentions,  4 relations
  15944809: 1923 chars,  13 entity mentions,  2 relations
  17253779: 2392 chars,  48 entity mentions, 12 relations
  17510308: 1768 chars,  35 entity mentions,  4 relations
  20517484: 1059 chars,  10 entity mentions,  3 relations
  10626836: 1583 chars,  32 entity mentions, 23 relations
  11009561: 1863 chars,  37 entity mentions, 16 relations
  23543413: 1707 chars,  27 entity mentions,  4 relations
  25225185: 2042 chars,  47 entity mentions, 13 relations
  23580257: 1318 chars,  15 entity mentions,  0 relations
  22859660: 1465 chars,  41 entity mentions,  5 relations
  23159529: 1456 chars,  28 entity mentions,  6 relations
  10950934: 1815 chars,  31 entity mentions,  5 relations
  23465612:  588 chars,   9 entity mentions,  2 relations
  23334176: 1525 chars,  10 entity mentions,  0 relations
  16303771: 1883 chars,  42 entity mentions,  6 relations
  23628509: 2040 chars,  28 entity mentions, 10 relations
  10933803: 1649 chars,  32 entity mentions,  0 relations
   9607108: 2937 chars,  54 entity mentions,  3 relations
  23260350:  834 chars,  16 entity mentions,  7 relations
  12112047: 1400 chars,   9 entity mentions,  2 relations
  16206183: 1797 chars,  30 entity mentions, 10 relations
  17652426: 1566 chars,  12 entity mentions,  0 relations
  19203467: 1820 chars,  81 entity mentions, 26 relations
   1705633: 1366 chars,  19 entity mentions, 11 relations
  11861820: 1833 chars,  36 entity mentions, 25 relations
  23458730: 1600 chars,  28 entity mentions, 18 relations
  23206862:  534 chars,   6 entity mentions,  1 relations
   1975995: 1621 chars,   9 entity mentions,  1 relations
  23406315: 1294 chars,  16 entity mentions,  4 relations
  16973691: 1994 chars,  27 entity mentions,  5 relations
  23315644: 1807 chars,  24 entity mentions,  2 relations
  23313730: 1587 chars,  28 entity mentions,  6 relations
  14711372: 1461 chars,  33 entity mentions,  5 relations
  23500545: 1443 chars,  23 entity mentions,  5 relations
  23473032: 1185 chars,  27 entity mentions,  1 relations
  23301897: 1560 chars,  17 entity mentions,  8 relations
  23567950:  721 chars,   6 entity mentions,  1 relations
  16876126: 1186 chars,  17 entity mentions,  9 relations
   8836655: 1962 chars,  35 entity mentions, 20 relations
  23615073: 1459 chars,  24 entity mentions, 10 relations
  23376161: 1688 chars,  27 entity mentions, 15 relations
  20596674: 1802 chars,  40 entity mentions, 16 relations
  14719072: 2121 chars,  51 entity mentions,  7 relations
  23554049: 1168 chars,  22 entity mentions,  4 relations
  21838705: 2014 chars,  21 entity mentions,  2 relations
   1361547: 1503 chars,  27 entity mentions,  8 relations
  10682471: 1731 chars,  25 entity mentions,  8 relations
  10954021: 1027 chars,  19 entity mentions,  1 relations
  23435160: 1867 chars,  17 entity mentions,  0 relations
  17085856: 1185 chars,  30 entity mentions,  3 relations
  15102890: 1485 chars,  39 entity mentions, 22 relations
  23444334:  926 chars,  14 entity mentions,  1 relations
  22872607: 1472 chars,  33 entity mentions, 12 relations
  23333901: 1577 chars,  16 entity mentions,  6 relations
  23090712: 1705 chars,  27 entity mentions,  4 relations
  15285788: 1350 chars,  15 entity mentions,  1 relations
  23374869: 1243 chars,  32 entity mentions,  9 relations
  23139413: 1949 chars,  26 entity mentions, 11 relations
  20372850: 2121 chars,  38 entity mentions, 14 relations
  20347047: 1930 chars,  25 entity mentions,  2 relations
  23357629: 1018 chars,  20 entity mentions,  3 relations
  23627806: 1970 chars,   7 entity mentions,  0 relations
  23640331: 1391 chars,  31 entity mentions,  0 relations
  23552263: 1184 chars,  22 entity mentions,  1 relations
  23314320: 2077 chars,  16 entity mentions,  2 relations
  23493374: 2059 chars,  54 entity mentions, 11 relations
  14676196: 1438 chars,  17 entity mentions,  0 relations
  23371032: 1273 chars,  13 entity mentions,  0 relations
  16554743: 2332 chars,  35 entity mentions,  7 relations
  16278927: 1318 chars,  32 entity mentions,  2 relations
   9669506: 1383 chars,  42 entity mentions,  6 relations
  17334708:  693 chars,  14 entity mentions,  2 relations
  16305240: 1311 chars,  19 entity mentions,  5 relations
  23194825: 2097 chars,  48 entity mentions,  7 relations
  23620436: 1958 chars,  17 entity mentions,  2 relations
  22301814: 1157 chars,  18 entity mentions,  4 relations
  15357957:  779 chars,  14 entity mentions,  0 relations
  23337256: 1736 chars,  21 entity mentions,  6 relations
  23574017: 1721 chars,  24 entity mentions,  6 relations
  16534240: 1858 chars,  40 entity mentions,  0 relations
  23325562: 1662 chars,  44 entity mentions, 27 relations
  23046524: 1853 chars,  16 entity mentions,  7 relations
  23344956: 1817 chars,  16 entity mentions,  0 relations
   9040115: 2940 chars,  36 entity mentions,  7 relations
  16690332: 2023 chars,  48 entity mentions,  5 relations
   2568748: 1021 chars,   4 entity mentions,  1 relations
  23000249: 1958 chars,  35 entity mentions,  1 relations
   7929150: 1622 chars,  26 entity mentions, 13 relations
  17929831: 1787 chars,  32 entity mentions,  9 relations
   8052854:  796 chars,  16 entity mentions,  6 relations
  16417577: 1247 chars,  20 entity mentions,  4 relations
  17896959: 1773 chars,  39 entity mentions, 15 relations
  17593236: 3032 chars,  10 entity mentions,  3 relations
  23409864:  502 chars,   7 entity mentions,  0 relations
  23160090:  919 chars,  20 entity mentions, 12 relations
  23601990: 1055 chars,  23 entity mentions, 12 relations
  16855178: 2071 chars,  36 entity mentions, 10 relations
  15066664: 1729 chars,  36 entity mentions, 22 relations
  11034583: 1887 chars,  22 entity mentions,  7 relations
  16455797: 1752 chars,  30 entity mentions,  5 relations
  23570914: 1588 chars,  23 entity mentions,  6 relations
  23298863: 1786 chars,  20 entity mentions,  6 relations
  10626810: 2103 chars,  41 entity mentions,  6 relations
  20421509: 1908 chars,  43 entity mentions, 21 relations
  23201124: 1193 chars,  21 entity mentions,  1 relations
  12662154: 2220 chars,  40 entity mentions,  3 relations
   7912539: 1639 chars,  27 entity mentions,  7 relations
  23085979: 1921 chars,  21 entity mentions, 11 relations
  23142507: 1204 chars,  26 entity mentions,  8 relations
  23612710: 1280 chars,  13 entity mentions,  0 relations
  14638499: 1643 chars,  29 entity mentions,  8 relations
  14871882: 2161 chars,  48 entity mentions,  0 relations
  17075268: 1925 chars,  37 entity mentions, 24 relations
  23223345: 1861 chars,  17 entity mentions,  3 relations
  16534527: 2273 chars,  10 entity mentions,  0 relations
  23381968: 1332 chars,  21 entity mentions,  9 relations
  23506002:  894 chars,   5 entity mentions,  0 relations
  23609963: 1791 chars,  14 entity mentions,  0 relations
  11972613: 2003 chars,  31 entity mentions,  5 relations
  22890749:  815 chars,   7 entity mentions,  0 relations
  15598972: 1967 chars,  26 entity mentions,  9 relations
  12431845: 1965 chars,  36 entity mentions,  7 relations
  23298698: 1737 chars,  16 entity mentions,  3 relations
  23220589: 1835 chars,  41 entity mentions, 11 relations
  15562257: 1795 chars,  34 entity mentions, 15 relations
  23154865: 1358 chars,  18 entity mentions,  0 relations
  15714982:  922 chars,  11 entity mentions,  2 relations
  18708991: 2027 chars,  39 entity mentions,  6 relations
  15133083: 1791 chars,  31 entity mentions,  3 relations
  23497227:  735 chars,  12 entity mentions,  3 relations
  17600786: 1255 chars,  14 entity mentions,  0 relations
  23397052: 1295 chars,  19 entity mentions,  0 relations
  10702256: 1772 chars,  24 entity mentions,  6 relations
  22981796: 1363 chars,   8 entity mentions,  2 relations
  23327993: 1619 chars,  39 entity mentions, 10 relations
  10617684: 1592 chars,  31 entity mentions, 11 relations
  23118019: 1681 chars,  23 entity mentions,  8 relations
  23522834:  578 chars,   9 entity mentions,  1 relations
  23583903: 1512 chars,  14 entity mentions,  0 relations
  23612487: 1798 chars,  41 entity mentions, 16 relations
  18847313: 1006 chars,  16 entity mentions, 13 relations
  23164618: 1957 chars,  20 entity mentions,  0 relations
  23183186: 1672 chars,  51 entity mentions,  4 relations
  17018843: 1767 chars,  54 entity mentions,  3 relations
  17067304: 1862 chars,  30 entity mentions, 14 relations
  23397359: 1084 chars,   2 entity mentions,  0 relations
  23249626: 2006 chars,  14 entity mentions,  1 relations
  23333577: 1603 chars,  47 entity mentions, 38 relations
  23434647: 1632 chars,  15 entity mentions,  0 relations
  23265543: 1139 chars,  25 entity mentions,  5 relations
  23534442: 1284 chars,  23 entity mentions,  9 relations
  12184062: 1444 chars,  27 entity mentions,  6 relations
  22815248: 1559 chars,  36 entity mentions, 10 relations
  15114505: 1036 chars,  28 entity mentions, 18 relations
  17494951: 1917 chars,  50 entity mentions, 18 relations
  23330847: 1935 chars,  13 entity mentions,  0 relations
  17000933: 1963 chars,  34 entity mentions,  4 relations
  23007555: 1785 chars,  32 entity mentions, 13 relations
  23557706: 1373 chars,  38 entity mentions,  9 relations
  23641685: 3135 chars,  29 entity mentions,  0 relations
  16432501: 1921 chars,  24 entity mentions,  8 relations
  19275550: 1187 chars,  13 entity mentions,  2 relations
  23402841: 1677 chars,  29 entity mentions,  2 relations
  23531536: 1535 chars,  29 entity mentions,  0 relations
  23287538: 1935 chars,  19 entity mentions,  0 relations
  23160530: 1573 chars,  28 entity mentions,  1 relations
  10411647: 2482 chars,  29 entity mentions,  9 relations
  12167567: 1775 chars,  22 entity mentions,  2 relations
  23444429: 1631 chars,  20 entity mentions,  0 relations
   7958159: 1572 chars,  15 entity mentions,  0 relations
  23401139: 1526 chars,   7 entity mentions,  0 relations
  23381951: 1131 chars,   8 entity mentions,  0 relations
  22619007: 1187 chars,  13 entity mentions,  3 relations
  23246732: 1469 chars,  17 entity mentions,  5 relations
  18633030: 2258 chars,  27 entity mentions,  0 relations
  22659088: 1671 chars,  41 entity mentions,  2 relations
  17553661: 2225 chars,  51 entity mentions, 15 relations
  12582227: 1933 chars,  34 entity mentions,  9 relations
   7832763: 1428 chars,  32 entity mentions, 13 relations
  16395286: 1869 chars,  32 entity mentions, 11 relations
  12668769: 2656 chars,  85 entity mentions, 25 relations
  19244097: 2131 chars,  57 entity mentions, 11 relations
  14656380: 1883 chars,  23 entity mentions,  8 relations
  14587496: 1996 chars,  13 entity mentions,  4 relations
  23409763: 1308 chars,   9 entity mentions,  2 relations
  23262028: 1697 chars,  31 entity mentions,  0 relations
  22288603:  754 chars,   2 entity mentions,  0 relations
  11166732:  820 chars,  17 entity mentions,  6 relations
  11562773: 1838 chars,  19 entity mentions,  6 relations
  10522750: 1708 chars,  39 entity mentions,  6 relations
  17135600: 1493 chars,  31 entity mentions,  0 relations
  23419783: 1915 chars,  15 entity mentions,  2 relations
  23375228:  670 chars,  12 entity mentions,  2 relations
  23265474: 1569 chars,  40 entity mentions,  0 relations
   7906055:  835 chars,  22 entity mentions,  5 relations
  23537574: 2407 chars,  12 entity mentions,  0 relations
  23439661: 1949 chars,  17 entity mentions,  3 relations
  17325243: 1796 chars,  19 entity mentions,  0 relations
  23632081: 1889 chars,  23 entity mentions,  5 relations
  22349823: 2005 chars,  40 entity mentions, 11 relations
  23335025: 1276 chars,  14 entity mentions,  0 relations
  12196163: 1348 chars,  18 entity mentions,  2 relations
  23641914: 1733 chars,   9 entity mentions,  0 relations
  23219161: 1756 chars,  19 entity mentions,  2 relations
  23558747: 1751 chars,  27 entity mentions,  3 relations
  15547682: 1133 chars,  16 entity mentions,  2 relations
  23291240: 1785 chars,  28 entity mentions,  0 relations
  23074021: 1511 chars,  21 entity mentions,  6 relations
  23451797: 1020 chars,   5 entity mentions,  0 relations
  23416143: 1549 chars,  25 entity mentions,  5 relations
  23349501: 1683 chars,  26 entity mentions,  5 relations
  23164673: 1721 chars,  33 entity mentions, 14 relations
  23152186: 2045 chars,  33 entity mentions,  2 relations
   9079657: 2164 chars,  45 entity mentions,  2 relations
  23479389: 1087 chars,   9 entity mentions,  3 relations
  23541928: 1971 chars,  21 entity mentions,  0 relations
  23494186:  959 chars,  15 entity mentions,  3 relations
  10839989: 1997 chars,  64 entity mentions, 22 relations
  21712771: 1662 chars,  23 entity mentions,  5 relations
  10561751: 1032 chars,  24 entity mentions,  2 relations
  16801455: 1919 chars,  50 entity mentions, 29 relations
  16686685: 1891 chars,  25 entity mentions,  3 relations
  10712236: 1932 chars,  41 entity mentions, 17 relations
  23620660: 1864 chars,  11 entity mentions,  0 relations
  23313633: 1164 chars,  16 entity mentions,  0 relations
  14692707: 1967 chars,  17 entity mentions,  6 relations
   9666414: 1230 chars,  19 entity mentions,  5 relations
  12513997: 1677 chars,  32 entity mentions, 11 relations
  23145773: 1044 chars,  22 entity mentions,  4 relations
  16651698:  923 chars,  17 entity mentions,  6 relations
  22484424: 1111 chars,  17 entity mentions,  0 relations
  10434156:  467 chars,  10 entity mentions,  0 relations
  23358194: 1939 chars,  12 entity mentions,  2 relations
  20012638: 1467 chars,  22 entity mentions,  4 relations
   8894610: 2136 chars,  35 entity mentions, 13 relations
  23313376: 2006 chars,  44 entity mentions, 26 relations
  23435910: 1476 chars,  27 entity mentions,  6 relations
  17624589: 1846 chars,  20 entity mentions,  0 relations
  17588300: 2155 chars,  21 entity mentions,  2 relations
  23590882: 1425 chars,  24 entity mentions,  2 relations
  23159790: 2237 chars,  28 entity mentions,  7 relations
  15982930: 1755 chars,  33 entity mentions, 16 relations
  23614730: 2006 chars,  41 entity mentions,  3 relations
