================================================================================
train: 350 units
                  J87-1003: 145 tokens,  3 sentences, 13 entity mentions,  3 relations
             P84-1047: 132 tokens,  7 sentences, 19 entity mentions,  8 relations
             C88-1066: 106 tokens,  5 sentences, 18 entity mentions,  5 relations
             C04-1116: 110 tokens,  5 sentences, 13 entity mentions,  6 relations
     ICCV_2009_47_abs: 134 tokens,  5 sentences, 16 entity mentions,  7 relations
             C80-1073: 100 tokens,  3 sentences, 16 entity mentions,  8 relations
             H05-1041:  99 tokens,  3 sentences, 16 entity mentions,  9 relations
     NIPS_2014_18_abs: 120 tokens,  8 sentences,  8 entity mentions,  2 relations
     NIPS_2014_10_abs: 140 tokens,  5 sentences, 20 entity mentions,  6 relations
             P03-1022:  69 tokens,  4 sentences, 14 entity mentions,  8 relations
     CVPR_2010_10_abs: 195 tokens,  7 sentences, 29 entity mentions, 19 relations
             H91-1010: 125 tokens,  7 sentences, 13 entity mentions,  7 relations
             C88-2160:  99 tokens,  5 sentences,  6 entity mentions,  2 relations
             P05-1034: 110 tokens,  4 sentences, 19 entity mentions, 15 relations
    CVPR_2011_292_abs: 172 tokens,  7 sentences, 20 entity mentions, 11 relations
     ECCV_2012_40_abs: 206 tokens,  8 sentences, 26 entity mentions, 15 relations
     AAAI_2015_21_abs: 158 tokens,  6 sentences, 16 entity mentions, 13 relations
             C04-1147: 128 tokens,  5 sentences, 17 entity mentions, 12 relations
             A00-1024:  86 tokens,  5 sentences, 15 entity mentions,  9 relations
             H01-1041: 158 tokens,  6 sentences, 19 entity mentions, 11 relations
             N03-4010:  76 tokens,  3 sentences,  8 entity mentions,  4 relations
             P04-1030: 103 tokens,  4 sentences, 17 entity mentions, 14 relations
     CVPR_2004_10_abs: 109 tokens,  5 sentences, 14 entity mentions,  9 relations
             L08-1260: 131 tokens,  6 sentences, 12 entity mentions,  9 relations
   IJCAI_2016_412_abs: 151 tokens,  7 sentences, 17 entity mentions,  8 relations
             W03-0406: 112 tokens,  6 sentences, 16 entity mentions,  5 relations
             E99-1023: 109 tokens,  5 sentences, 16 entity mentions,  9 relations
             N04-1008:  64 tokens,  2 sentences,  7 entity mentions,  4 relations
  ICASSP_2011_598_abs: 181 tokens,  9 sentences, 30 entity mentions, 26 relations
     CVPR_2003_10_abs: 200 tokens, 10 sentences, 30 entity mentions, 20 relations
             P06-3008: 107 tokens,  4 sentences, 20 entity mentions, 20 relations
     CVPR_2003_11_abs: 130 tokens,  5 sentences, 18 entity mentions,  9 relations
             P05-1073: 109 tokens,  4 sentences, 13 entity mentions, 10 relations
             E93-1023: 129 tokens,  5 sentences, 15 entity mentions, 11 relations
             C90-3014:  70 tokens,  3 sentences, 11 entity mentions,  6 relations
   IJCAI_2016_413_abs: 214 tokens,  9 sentences, 19 entity mentions,  6 relations
             C08-3010:  91 tokens,  5 sentences, 11 entity mentions,  4 relations
             J88-3002: 195 tokens,  8 sentences, 16 entity mentions,  3 relations
             N04-4028: 139 tokens,  5 sentences, 20 entity mentions, 14 relations
             H05-1005: 124 tokens,  5 sentences, 11 entity mentions,  3 relations
    ICCV_2015_392_abs: 226 tokens, 10 sentences, 33 entity mentions, 22 relations
             H92-1017:  86 tokens,  4 sentences,  8 entity mentions,  5 relations
    CVPR_2016_416_abs: 200 tokens,  6 sentences, 19 entity mentions,  9 relations
    CVPR_2015_303_abs: 171 tokens,  6 sentences, 23 entity mentions, 14 relations
             J81-1002: 137 tokens,  5 sentences,  9 entity mentions,  3 relations
             E99-1034: 107 tokens,  5 sentences,  9 entity mentions,  5 relations
             N03-1017: 128 tokens,  5 sentences, 12 entity mentions,  5 relations
    CVPR_2011_293_abs: 185 tokens,  6 sentences, 22 entity mentions,  8 relations
             P05-3001:  46 tokens,  2 sentences,  7 entity mentions,  3 relations
================================================================================
test: 100 units
                 X96-1059: 213 tokens,  9 sentences, 31 entity mentions, 19 relations
         ICCV_2001_47_abs: 145 tokens,  6 sentences, 24 entity mentions, 14 relations
  INTERSPEECH_2013_21_abs: 119 tokens,  6 sentences, 20 entity mentions,  9 relations
                 H01-1049: 131 tokens,  7 sentences, 11 entity mentions,  3 relations
                 C96-1062: 109 tokens,  5 sentences, 16 entity mentions,  8 relations
         CVPR_2009_18_abs: 126 tokens,  5 sentences, 21 entity mentions, 18 relations
                 P85-1019: 118 tokens,  5 sentences, 21 entity mentions, 15 relations
                 P05-1039:  67 tokens,  2 sentences, 12 entity mentions,  8 relations
                 P06-2012:  76 tokens,  3 sentences, 13 entity mentions, 11 relations
                 P06-1018:  73 tokens,  3 sentences, 16 entity mentions, 17 relations
         NIPS_2001_11_abs: 107 tokens,  5 sentences, 17 entity mentions,  9 relations
         CVPR_1999_15_abs: 111 tokens,  4 sentences, 14 entity mentions,  4 relations
                 C94-1091: 172 tokens,  7 sentences, 14 entity mentions,  8 relations
        ICCV_2003_161_abs: 154 tokens,  8 sentences, 20 entity mentions, 10 relations
         CVPR_2009_10_abs: 193 tokens,  9 sentences, 27 entity mentions, 20 relations
                 N03-1026: 125 tokens,  5 sentences, 21 entity mentions, 18 relations
         ICML_2016_11_abs: 222 tokens,  7 sentences, 28 entity mentions, 17 relations
                 C88-1044:  71 tokens,  3 sentences,  7 entity mentions,  3 relations
  INTERSPEECH_2008_20_abs: 160 tokens,  7 sentences,  6 entity mentions,  1 relations
       ICASSP_2016_11_abs: 135 tokens,  6 sentences, 16 entity mentions, 10 relations
                 N06-1037: 105 tokens,  4 sentences, 13 entity mentions,  8 relations
                 P05-2013:  69 tokens,  3 sentences, 10 entity mentions,  4 relations
                 C04-1128: 106 tokens,  3 sentences, 12 entity mentions,  7 relations
         CVPR_2006_10_abs: 165 tokens,  6 sentences, 11 entity mentions,  4 relations
         NIPS_2002_11_abs: 118 tokens,  3 sentences, 11 entity mentions,  8 relations
                 P06-3007:  63 tokens,  5 sentences,  6 entity mentions,  3 relations
         ICCV_2013_25_abs: 107 tokens,  5 sentences, 19 entity mentions, 12 relations
                 P05-1076: 125 tokens,  5 sentences, 20 entity mentions, 10 relations
                 C04-1103: 111 tokens,  5 sentences, 14 entity mentions,  8 relations
         NIPS_2002_18_abs: 110 tokens,  5 sentences, 13 entity mentions,  6 relations
                 C86-1081:  88 tokens,  3 sentences,  5 entity mentions,  2 relations
                 P03-1070: 101 tokens,  4 sentences, 16 entity mentions, 10 relations
                 P05-1056: 174 tokens,  6 sentences, 24 entity mentions, 19 relations
         CVPR_2011_11_abs: 165 tokens,  5 sentences, 19 entity mentions,  7 relations
         ICML_2016_10_abs: 143 tokens,  8 sentences, 18 entity mentions,  7 relations
                 C04-1011:  74 tokens,  3 sentences, 10 entity mentions,  6 relations
         ECCV_2006_13_abs: 238 tokens,  5 sentences, 34 entity mentions, 27 relations
                 N04-1022: 102 tokens,  5 sentences, 18 entity mentions, 10 relations
                 E89-1016: 157 tokens,  7 sentences, 19 entity mentions,  8 relations
                 E06-1022:  88 tokens,  5 sentences, 15 entity mentions, 13 relations
                 I05-5004:  70 tokens,  2 sentences,  7 entity mentions,  5 relations
                 H01-1042: 236 tokens, 11 sentences, 17 entity mentions,  9 relations
                 C04-1035: 128 tokens,  5 sentences, 19 entity mentions, 10 relations
                 C04-1036: 102 tokens,  4 sentences, 14 entity mentions,  9 relations
         CVPR_2011_10_abs: 116 tokens,  6 sentences, 19 entity mentions,  8 relations
         ECCV_2012_30_abs: 129 tokens,  6 sentences, 18 entity mentions,  7 relations
                 P08-1105: 119 tokens,  5 sentences, 17 entity mentions,  8 relations
        ICML_2006_119_abs: 178 tokens,  6 sentences, 18 entity mentions, 13 relations
                 P04-2005: 128 tokens,  5 sentences, 20 entity mentions, 12 relations
        NIPS_2016_560_abs: 178 tokens,  7 sentences, 13 entity mentions,  6 relations
                 P06-1053:  78 tokens,  4 sentences, 11 entity mentions,  4 relations
        CVPR_2016_413_abs: 167 tokens,  6 sentences, 20 entity mentions, 15 relations
         ICML_1995_38_abs: 129 tokens,  5 sentences, 15 entity mentions,  9 relations
                 P06-4007:  68 tokens,  2 sentences,  7 entity mentions,  4 relations
                 E99-1015:  78 tokens,  4 sentences,  8 entity mentions,  4 relations
         CVPR_2004_18_abs:  95 tokens,  4 sentences, 14 entity mentions, 10 relations
                 J86-4002: 187 tokens,  9 sentences, 12 entity mentions,  3 relations
                 P06-1013:  77 tokens,  5 sentences, 11 entity mentions,  6 relations
                 P05-1046: 152 tokens,  5 sentences, 18 entity mentions, 13 relations
                 J82-3002: 108 tokens,  6 sentences, 17 entity mentions,  8 relations
         ECCV_2016_99_abs: 211 tokens,  9 sentences, 23 entity mentions, 14 relations
                 I05-5003: 125 tokens,  5 sentences, 22 entity mentions, 22 relations
        CVPR_2008_256_abs: 224 tokens,  8 sentences, 31 entity mentions, 18 relations
                 P01-1056: 112 tokens,  4 sentences, 17 entity mentions, 14 relations
        ICCV_2003_151_abs: 207 tokens,  8 sentences, 35 entity mentions, 21 relations
                 C90-3063: 120 tokens,  6 sentences,  9 entity mentions,  4 relations
                 J05-4003: 138 tokens,  6 sentences, 14 entity mentions,  9 relations
                 C00-2123: 100 tokens,  4 sentences, 11 entity mentions,  4 relations
                 E91-1012: 137 tokens,  6 sentences, 19 entity mentions, 11 relations
                 J86-3001: 313 tokens, 12 sentences, 36 entity mentions, 12 relations
                 P86-1011:  43 tokens,  3 sentences,  6 entity mentions,  4 relations
                 E95-1033:  50 tokens,  2 sentences,  8 entity mentions,  5 relations
                 W02-1602: 284 tokens, 10 sentences, 26 entity mentions, 13 relations
                 C04-1106: 137 tokens,  5 sentences,  5 entity mentions,  1 relations
        ECCV_2016_204_abs: 196 tokens,  8 sentences, 31 entity mentions, 19 relations
  INTERSPEECH_2006_21_abs: 165 tokens,  7 sentences, 15 entity mentions,  8 relations
         NIPS_2015_18_abs: 162 tokens,  5 sentences, 18 entity mentions, 10 relations
         CVPR_1994_10_abs: 196 tokens,  8 sentences, 20 entity mentions,  8 relations
                 P83-1004:  76 tokens,  4 sentences, 10 entity mentions,  4 relations
                 C90-3045: 132 tokens,  4 sentences, 15 entity mentions,  5 relations
         CVPR_1993_10_abs: 162 tokens,  8 sentences, 17 entity mentions,  9 relations
         ICML_2016_18_abs: 176 tokens,  7 sentences, 26 entity mentions, 15 relations
                 I05-4010: 113 tokens,  5 sentences,  8 entity mentions,  1 relations
         ICCV_2013_47_abs: 182 tokens,  8 sentences, 28 entity mentions, 13 relations
                 H05-1095:  97 tokens,  5 sentences, 13 entity mentions,  7 relations
                 A97-1020:  94 tokens,  4 sentences, 17 entity mentions, 15 relations
                 N03-1033: 105 tokens,  2 sentences, 12 entity mentions,  8 relations
        ECCV_2016_212_abs: 270 tokens, 10 sentences, 36 entity mentions, 19 relations
      ICASSP_1997_706_abs: 168 tokens,  5 sentences, 25 entity mentions, 13 relations
  INTERSPEECH_2008_28_abs: 179 tokens,  7 sentences, 24 entity mentions, 15 relations
        ECCV_2016_110_abs:  60 tokens,  3 sentences,  9 entity mentions,  6 relations
        CVPR_2008_258_abs: 148 tokens,  6 sentences, 15 entity mentions, 11 relations
                 C08-2010: 109 tokens,  7 sentences, 12 entity mentions,  7 relations
                 E93-1066: 149 tokens,  7 sentences, 18 entity mentions,  8 relations
  INTERSPEECH_2014_40_abs: 130 tokens,  5 sentences, 20 entity mentions, 12 relations
         CVPR_2010_30_abs: 153 tokens,  5 sentences, 19 entity mentions, 14 relations
         CVPR_2004_30_abs: 122 tokens,  7 sentences, 19 entity mentions, 11 relations
  INTERSPEECH_2007_40_abs: 109 tokens,  4 sentences, 11 entity mentions,  1 relations
         CVPR_2003_30_abs:  93 tokens,  4 sentences, 14 entity mentions, 11 relations
         NIPS_2016_80_abs:  95 tokens,  4 sentences, 14 entity mentions,  8 relations
