================================================================================
train: 306 units
  000f90380d768a85e2316225854fc377c079b5c4:  6507 words, 328 sentences, 400 entity mentions,  4 relations
  37a18be8c599b781cc28b6a62d8f11e8a6a75169:  2751 words, 128 sentences, 183 entity mentions,  1 relations
  37b685caf39b38b07af60eacf1a7d7ada2122372:  6612 words, 318 sentences, 370 entity mentions,  2 relations
  380b2c78d21ae6c43d418b6f0cb0222d5293d345:  2433 words, 101 sentences, 147 entity mentions,  3 relations
  3861ae2a6bdd2a759c2d901a6583e63a216bc2fc:  3865 words, 175 sentences, 235 entity mentions,  2 relations
  38d7920f0e8a3a672ea37c8612b2b2947b9ba9d1:  5686 words, 268 sentences, 377 entity mentions,  2 relations
  39978ba7c83333475d6825d0ff897692933895fc:  7692 words, 346 sentences, 543 entity mentions,  6 relations
  39dba6f22d72853561a4ed684be265e179a39e4f:  4418 words, 183 sentences, 241 entity mentions,  2 relations
  3a28fe49e7a856ddd60d134696a891ed7bca5962:  5310 words, 210 sentences, 341 entity mentions,  8 relations
  3a61d5fbc8d99310965fd91b12527d1cd69d7116:  5799 words, 286 sentences, 515 entity mentions,  4 relations
  3a7895b17db0cda7bbf86bcda52c46a3e03b6ded:  5283 words, 295 sentences, 303 entity mentions,  1 relations
  3a8d537bcec370d37990d39eab01c729496ad057:  4749 words, 203 sentences, 309 entity mentions,  1 relations
  3b1b94441010615195a5c404409ce2416860508c:  9915 words, 459 sentences, 614 entity mentions,  1 relations
  3b1d8eb163ffff598c2faa0d9d7cf933857a359f:  5866 words, 270 sentences, 323 entity mentions,  6 relations
  3b9732bb07dc99bde5e1f9f75251c6ea5039373e:  5548 words, 252 sentences, 256 entity mentions, 200 relations
  3c1d781f2dab8da12e3cb0e4d7abfb440a340a09:  5416 words, 250 sentences, 304 entity mentions,  6 relations
  3c78c6df5eb1695b6a399e346dde880af27d1016:  5735 words, 274 sentences, 262 entity mentions,  4 relations
  3d18ce183b5a5b4dcaa1216e30b774ef49eaa46f:  5443 words, 282 sentences, 402 entity mentions,  5 relations
  3d5d9d8e74b215609eabba80ef79a35ebf460e49:  4391 words, 273 sentences, 308 entity mentions,  1 relations
  3d734edc41c13fb4da2c3709e8255b004d083962:  3067 words, 147 sentences, 220 entity mentions,  4 relations
  3dd2f70f48588e9bb89f1e5eec7f0d8750dd920a:  7064 words, 387 sentences, 544 entity mentions,  1 relations
  3e58fbb8cb96880e018ca18a60e2d86e3cb0c10a:  5446 words, 281 sentences, 393 entity mentions,  2 relations
  3e79a574d776c46bbe6d34f41b1e83b5d0f698f2:  4696 words, 238 sentences, 328 entity mentions,  4 relations
  3e7f54801c886ea2061650fd24fc481e39be152f:  5637 words, 318 sentences, 316 entity mentions,  2 relations
  3e95925d2bca43223453010ff8516a492287ce19:  4070 words, 199 sentences, 278 entity mentions,  7 relations
  3f3a483402a3a2b800cf2c86506a37f6ef1a5332:  8422 words, 483 sentences, 629 entity mentions,  2 relations
  3f45d73a7b8d10a59a68688c11950e003f4852fc:  5944 words, 310 sentences, 416 entity mentions,  4 relations
  3febb2bed8865945e7fddc99efd791887bb7e14f:  7065 words, 317 sentences, 655 entity mentions, 17 relations
  40193e7ba0fbd7153a1fe15e95563463b67c71f3:  6576 words, 317 sentences, 416 entity mentions,  1 relations
  4087ebc37a1650dbb5d8205af0850bee74f3784b:  4679 words, 241 sentences, 362 entity mentions,  1 relations
  40b0fced8bc45f548ca7f79922e62478d2043220:  3465 words, 167 sentences, 226 entity mentions,  1 relations
  40b4596a0ae4f4ff065f3f13f36db39543e50068:  5661 words, 244 sentences, 350 entity mentions,  1 relations
  40eb1e54cb5382dfd3b7efd16dc7df826262ea52:  8294 words, 417 sentences, 543 entity mentions, 19 relations
  41232a69c0f8d4b993e6c6e00b16c223442c962f:  4979 words, 282 sentences, 270 entity mentions,  3 relations
  41951953579a0e3620f0235e5fcb80b930e6eee3:  4250 words, 212 sentences, 288 entity mentions,  1 relations
  41b38da2f4137c957537908f9cb70cbd2fac8bc1:  2553 words, 165 sentences, 112 entity mentions,  1 relations
  41d08fb733f3e50ac183490f84d6377dffccf350:  6196 words, 328 sentences, 319 entity mentions,  1 relations
  420c46d7cafcb841309f02ad04cf51cb1f190a48:  4758 words, 320 sentences, 371 entity mentions, 10 relations
  424561d8585ff8ebce7d5d07de8dbf7aae5e7270:  8418 words, 390 sentences, 682 entity mentions,  3 relations
  424aef7340ee618132cc3314669400e23ad910ba:  5512 words, 246 sentences, 264 entity mentions,  3 relations
  42764b57d0794b63487a295ce8c07eeb6961477e:  6078 words, 327 sentences, 420 entity mentions,  1 relations
  42e80c73867bff9eaff6beceb8730fc1276283b9:  4771 words, 160 sentences, 310 entity mentions,  6 relations
  42f20d37f4eba56284a941d5f9f58609ee650de0:  5644 words, 260 sentences, 380 entity mentions,  8 relations
  432d8cba544bf7b09b0455561fea098177a85db1:  4475 words, 230 sentences, 280 entity mentions,  2 relations
  43428880d75b3a14257c3ee9bda054e61eb869c0:  7638 words, 414 sentences, 412 entity mentions,  7 relations
  434bf475addfb580707208618f99c8be0c55cf95:  4655 words, 320 sentences, 246 entity mentions,  1 relations
  435259c5f3cffd75ef837a8e638cc8f6244e25c4:  7970 words, 350 sentences, 537 entity mentions,  1 relations
  4402c6c8445f17f4161e0f64573b7e28df1ca180:  4734 words, 254 sentences, 417 entity mentions, 21 relations
  44c5dec4d1295d34f052d3243d8e08f14a3c0990:  6224 words, 266 sentences, 312 entity mentions, 27 relations
  44da806ae67ae9885592492202b3dc5f50182cc8:  4612 words, 258 sentences, 242 entity mentions,  3 relations
  4508f81033c9a7cec785ce4d16f1193920c1b341:  4135 words, 195 sentences, 293 entity mentions,  3 relations
  450e9676991b91e6b5eba3f77ac95dd0d3d6b655:  5023 words, 198 sentences, 325 entity mentions,  2 relations
  4543052aeaf52fdb01fced9b3ccf97827582cef5:  5286 words, 295 sentences, 444 entity mentions,  1 relations
  454dd76eb0a82286c054a6dd9d9413e09ad66801:  6650 words, 344 sentences, 252 entity mentions,  2 relations
  45b559e6271570598602fcf9777ed6f2f2d133e6:  3132 words, 134 sentences, 258 entity mentions,  1 relations
  45e8ef229fae18b0a2ab328037d8e520866c3c81:  5180 words, 295 sentences, 390 entity mentions,  2 relations
  45fdc73a239e9c6ea65e98c96f6a2d6dc35d6f72:  3331 words, 146 sentences, 227 entity mentions,  1 relations
  46018a894d533813d67322827ca51f78aed6d59e:  9496 words, 411 sentences, 519 entity mentions,  1 relations
  462d4e265c9cbe9ad5feeb9a7736184a90b36fed:  3772 words, 140 sentences, 149 entity mentions,  2 relations
================================================================================
dev: 66 units
  007ff2ca5f297b04636699ce4d01ca6d6f21dc77:  3218 words, 149 sentences, 259 entity mentions,  4 relations
  027d6c52be01b583b9a0d9eb8c9364c6b701c656:  3420 words, 164 sentences, 267 entity mentions,  3 relations
  0496691c6d54fd746c111d1004349acf7654145e:  7745 words, 410 sentences, 353 entity mentions,  1 relations
  0680f04750b1e257ffdd161e85382031dc73ea7f:  5165 words, 213 sentences, 271 entity mentions,  2 relations
  0690ba31424310a90028533218d0afd25a829c8d:  5288 words, 236 sentences, 366 entity mentions, 10 relations
  07a9478e87a8304fc3267fa16e83e9f3bbd98b27:  2612 words, 135 sentences, 123 entity mentions,  6 relations
  087337fdad69caaab8ebd8ae68a731c5bf2e8b14:  8081 words, 415 sentences, 657 entity mentions,  8 relations
  088b649415378c4dde666f614ba24d08a36b6652:  5113 words, 229 sentences, 352 entity mentions,  6 relations
  0910a4c470a410fac446f4026f7c8ef512ae7427:  4921 words, 290 sentences, 240 entity mentions,  2 relations
  097851f362667a599208f4a06fa289dac2e91fbe:  3942 words, 170 sentences, 191 entity mentions,  1 relations
  0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2:  4217 words, 210 sentences, 303 entity mentions,  2 relations
  0b4b6932d5df74b366d9235b40334bc40d719c72:  6161 words, 284 sentences, 300 entity mentions,  2 relations
  0c5c93594647d77dcbad5f3ed71139b186a23a3c:  5439 words, 244 sentences, 337 entity mentions,  2 relations
  0c7f1d285ce069b2f7a807a4b2750695098bffe6:  5119 words, 254 sentences, 341 entity mentions,  5 relations
  0e6b990f41fc0e7fdd0662f88b5ad024375bd77b:  5030 words, 277 sentences, 300 entity mentions,  1 relations
  11f411eee106efac9f677149e655252463811b09:  4599 words, 263 sentences, 367 entity mentions,  1 relations
  1275125b71b999b7c49bc554c6ec404a764eb299:  5975 words, 323 sentences, 519 entity mentions,  2 relations
  12806c298e01083a79db77927530367d85939907:  5260 words, 227 sentences, 362 entity mentions,  2 relations
  148eb2b649ce0f66214fceba5c061b417ab88d79:  2933 words, 183 sentences, 124 entity mentions,  2 relations
  14cb3de564377cc4ba2b9bfe8ebd8c0a7c2787ce:  6141 words, 326 sentences, 491 entity mentions,  1 relations
  1510cf4b8abea80b9f352325ca4c132887de21a0:  5501 words, 281 sentences, 277 entity mentions,  8 relations
  1594d954abc650bce2db445c52a76e49655efb0c:  5036 words, 221 sentences, 314 entity mentions,  1 relations
  15c10b24ef645d83ff4059affd86945c33e00328: 10953 words, 507 sentences, 690 entity mentions,  2 relations
  16028acc465c434a43599f0f900c91f38d690e02:  6246 words, 320 sentences, 345 entity mentions,  1 relations
  170cc3b72dd2793920f8b0bbd0926d9244c49562:  7796 words, 438 sentences, 587 entity mentions, 49 relations
  1762baa638866a13dcc6d146fd5a49b36cbd9c30:  5524 words, 271 sentences, 341 entity mentions,  5 relations
  1827de6fa9c9c1b3d647a9d707042e89cf94abf0:  6383 words, 303 sentences, 366 entity mentions,  2 relations
  188123b5afe0d3b59e9e44f33729649536fe6ea6:  7262 words, 366 sentences, 370 entity mentions,  6 relations
  189e6bb7523733c4e524214b9e6ae92d4ed50dac:  4273 words, 189 sentences, 328 entity mentions,  2 relations
  19d583bf8c5533d1261ccdc068fdc3ef53b9ffb9:  5264 words, 261 sentences, 279 entity mentions,  5 relations
  1c059493904b2244d2280b8b4c0c7d3ca115be73:  8541 words, 404 sentences, 517 entity mentions,  4 relations
  1d73144204eb1604b26cd57ef75536f0f2753c69:  6133 words, 310 sentences, 547 entity mentions,  1 relations
  1e5b1bf032059caddb4ef0d6bfec4706d8f3a946:  4234 words, 244 sentences, 256 entity mentions,  3 relations
  1efdad6f91e830fd64306e4625f74191b05ef9c4:  5947 words, 296 sentences, 373 entity mentions,  4 relations
  1f8f0abfe4689aa93f2f6cc7ec4fd4c6adc2c2d6:  5407 words, 242 sentences, 293 entity mentions,  2 relations
  22634b09c3c83f4a959f4f732b03ec3c92808094: 12549 words, 647 sentences, 749 entity mentions,  5 relations
  2315fc6c2c0c4abd2443e26a26e7bb86df8e24cc:  5700 words, 261 sentences, 290 entity mentions,  1 relations
  2347efd31b723a636902ccaa7b5bc351788e793f:  4272 words, 174 sentences, 264 entity mentions,  2 relations
  25ace72fc3e483d5d52c9209f76b04f0fdd08f9b:  2993 words, 145 sentences, 243 entity mentions,  1 relations
  25b9b1ede6519eeef3e67657a97e2f551940b0d6:  3080 words, 131 sentences, 208 entity mentions,  1 relations
  26d4ab9b60b91bb610202b58fa1766951fedb9e9:  3542 words, 160 sentences, 207 entity mentions,  1 relations
  27e98e09cf09bc13c913d01676e5f32624011050:  5432 words, 258 sentences, 406 entity mentions,  2 relations
  289e3e6b84982eb65aea8e3a64f2f6916c98e87e:  6726 words, 260 sentences, 276 entity mentions,  1 relations
  28bf3aee9eecc2f7a7b4ac71bfe89534d3fe5f19:  5480 words, 206 sentences, 372 entity mentions,  5 relations
  2af864bc38fd1116b4af32f16b44f5b3b156f5a3:  4272 words, 202 sentences, 264 entity mentions,  1 relations
  2b507f659b341ed0f23106446de8e4322f4a3f7e:  7970 words, 408 sentences, 724 entity mentions,  1 relations
  2c1d608e3cd43b3104d76296a14f1aef0e6b2c64:  3984 words, 202 sentences, 322 entity mentions, 10 relations
  2ead783089fc757052abb908287a2fb743a4ebef:  3847 words, 193 sentences, 332 entity mentions,  3 relations
  3070a1bd503c3767def898bbd50c7eea2bbf29c9:  7260 words, 389 sentences, 367 entity mentions,  2 relations
  310fed695da4f36139b70b23065c34fe9fb29ca6:  2599 words, 143 sentences, 252 entity mentions,  2 relations
  3208b5abafa1146e7df1073090523c822909275e:  4153 words, 217 sentences, 339 entity mentions,  2 relations
  33bcc97b605f00145098d095be2841a1fa6b9a95:  5382 words, 317 sentences, 253 entity mentions,  3 relations
  34f92431bb8cb9fa6a1210c5d6e4642079ffac7a:  3379 words, 179 sentences, 209 entity mentions,  2 relations
  35756f711a97166df11202ebe46820a36704ae77:  3934 words, 199 sentences, 304 entity mentions,  1 relations
  3858e5175799b97805b2b70ff54e8a7e0718870f:  1993 words, 107 sentences, 122 entity mentions,  1 relations
  398c296d0cc7f9d180f84969f8937e6d3a413796:  5193 words, 249 sentences, 280 entity mentions,  4 relations
  3bf52841ade9f6adc55e102a4460af922e52bb7d:  5679 words, 269 sentences, 243 entity mentions,  1 relations
  3cdb1364c3e66443e1c2182474d44b2fb01cd584: 10719 words, 510 sentences, 906 entity mentions, 10 relations
  3d597e16ef56119bb6e6d78e3f379623862f0752:  9763 words, 575 sentences, 447 entity mentions,  2 relations
  3f55d26dd638c849745b95e912c28d88445ba5e1:  4764 words, 200 sentences, 441 entity mentions, 13 relations
  3fc5ed18c2294596af072df929c8ee12c71f96a2:  4951 words, 230 sentences, 343 entity mentions,  2 relations
  40a63746a710baf4a694fd5a4dd8b5a3d9fc2846:  4271 words, 219 sentences, 261 entity mentions,  1 relations
  4265269bc894caa97efbfcfe5b83da7413f86a30:  6576 words, 380 sentences, 353 entity mentions,  5 relations
  44fcb91c6c436902edb35b4c453c34fb353b14ad:  5763 words, 282 sentences, 480 entity mentions,  4 relations
  4592364a6c1eb227ffb3cbb6bb9f4e6431e89f2f:  5631 words, 237 sentences, 411 entity mentions,  2 relations
  4682e5d4654b6040f213475c8b75ca039661b5f6:  5217 words, 267 sentences, 291 entity mentions,  2 relations
================================================================================
test: 66 units
  02567fd428a675ca91a0c6786f47f3e35881bcbd: 10292 words, 611 sentences, 733 entity mentions,  2 relations
  02b3d1d162080d9aefd3fc30a0bcc9a843073b5d:  5909 words, 268 sentences, 314 entity mentions,  4 relations
  0398552184f80db111e9c28bf533b395f233ac00:  4458 words, 174 sentences, 258 entity mentions,  1 relations
  05d2700846c0323f79c1344aca5333994c7c03a5:  3061 words, 123 sentences, 261 entity mentions,  3 relations
  0626908dd710b91aece1a81f4ca0635f23fc47f3:  5161 words, 231 sentences, 286 entity mentions,  2 relations
  0678a8abea82793993cd89383319da75f6dc4be3:  5410 words, 276 sentences, 436 entity mentions,  1 relations
  081531984770a74e87dbd68907061b4b0f3631bf:  5240 words, 217 sentences, 418 entity mentions,  6 relations
  0834e74304b547c9354b6d7da6fa78ef47a48fa8:  9126 words, 464 sentences, 511 entity mentions,  4 relations
  0a3381f0432c5cfe491c718349d7a44e5814592c:  5069 words, 200 sentences, 322 entity mentions,  5 relations
  0a6c36de8726b6feaab586046ddc1d1a008f44f9:  6230 words, 335 sentences, 362 entity mentions,  1 relations
  0c47cad9729c38d9db1f75491b1ee4bd883a5d4e:  6929 words, 345 sentences, 547 entity mentions,  6 relations
  0dc9eb7d17f2def56ad930945f2521653f04c3fa:  4495 words, 231 sentences, 199 entity mentions,  2 relations
  107010b7f2abe3c0c9df62bcef35eb77f6fc76df: 13235 words, 562 sentences, 726 entity mentions,  5 relations
  1130d8fdd931225c2d7563c3808367726cfa1c3a:  8941 words, 352 sentences, 671 entity mentions,  2 relations
  11356cd6bb0f2776a88cd584ff108470414c6594:  4349 words, 183 sentences, 254 entity mentions,  1 relations
  11da0c54ba904a1cb31a09d10da55f73e8825c61:  2980 words, 148 sentences, 253 entity mentions,  3 relations
  1235dd37312cb20aced0e97d953f6379d8a0c7d4: 13334 words, 736 sentences, 310 entity mentions,  2 relations
  14318685b5959b51d0f1e3db34643eb2855dc6d9:  5656 words, 215 sentences, 302 entity mentions,  3 relations
  16051bbe3a7f7c77a952ebf76722ea655e8906ca:  7597 words, 284 sentences, 559 entity mentions,  3 relations
  160563abbd75265b19afc8b4169bab9e1eb33d97:  6200 words, 278 sentences, 329 entity mentions,  8 relations
  175f74a09241b6cb5101a2a09978095720db7d5f:  4822 words, 246 sentences, 373 entity mentions,  8 relations
  1778e32c18bd611169e64c1805a51abff341ca53:  5426 words, 275 sentences, 343 entity mentions,  7 relations
  178275dbdcfa267e41a9d5efe386ee5874c6d23f:  5495 words, 255 sentences, 353 entity mentions,  6 relations
  178631e0f0e624b1607c7a7a2507ed30d4e83a42:  2894 words, 114 sentences, 216 entity mentions,  1 relations
  18168aea48a22f6fe2fe407c0ff70083cba225a7:  4271 words, 209 sentences, 316 entity mentions,  4 relations
  193089d56758ab88391d846edd08d359b1f9a863:  5978 words, 343 sentences, 384 entity mentions,  2 relations
  193b518bc3025804c6d587c74cbc154d91478417:  4983 words, 222 sentences, 318 entity mentions,  1 relations
  1d0dcb458aa4d30b51f7c74b159be687f39120a0:  5355 words, 283 sentences, 408 entity mentions,  2 relations
  1f08598381af9146d0fd9a61b30d0e51a7331689:  6513 words, 303 sentences, 322 entity mentions,  1 relations
  2138a7127429d67746ec78de46d6820fee0e548e:  7962 words, 316 sentences, 549 entity mentions,  1 relations
  21a1654b856cf0c64e60e58258669b374cb05539:  5208 words, 290 sentences, 473 entity mentions,  3 relations
  232b43584b2236669c0a53702ad89ab10c3886ea:  6056 words, 241 sentences, 397 entity mentions, 57 relations
  23d2d3a6ffebfecaa8930307fdcf451c147757c8:  6438 words, 282 sentences, 515 entity mentions,  9 relations
  24730424236724d3f798dec02901e7a1f1c4710e:  7617 words, 311 sentences, 449 entity mentions,  3 relations
  249b3b7421d3cdb932eecfe4b67203e0e46806b2:  4475 words, 205 sentences, 271 entity mentions,  4 relations
  25a784f7f8c94c42821ee078587fc38dffcd00a4:  5600 words, 237 sentences, 322 entity mentions,  4 relations
  25f5df29342a04936ba0d308b4d1b8245a7e8f5c:  5219 words, 214 sentences, 283 entity mentions,  4 relations
  269730dbbabed8b8b5ba720e44a4c31b1f51e8f1:  6463 words, 324 sentences, 360 entity mentions,  3 relations
  270e65acc071b9e4e2a632720130c0e10cb6fa08:  5013 words, 255 sentences, 420 entity mentions,  6 relations
  2777cd26b2c257843273fe41ad4c5b8cdf1b1b75:  7987 words, 341 sentences, 511 entity mentions,  3 relations
  27a99c21a1324f087b2f144adc119f04137dfd87:  5093 words, 225 sentences, 354 entity mentions,  1 relations
  27aa0f3ec934925265f93fac7ff1cd1d70ceb618:  5459 words, 249 sentences, 363 entity mentions,  5 relations
  2a86bcdfb1d817ddb76ba202319f8267a36c0f62: 11846 words, 623 sentences, 616 entity mentions,  3 relations
  2f04ba0f74df046b0080ca78e56898bd4847898b:  5675 words, 267 sentences, 384 entity mentions,  3 relations
  2f56b1ac5b9faac9527b6814778925e9242cf5fd:  6207 words, 295 sentences, 506 entity mentions,  1 relations
  2f97ee95cad6a1f13596b108072b846c6f747d4e:  3713 words, 184 sentences, 293 entity mentions,  4 relations
  322a7dad274f440a92548faa8f2b2be666b2d01f:  4786 words, 289 sentences, 351 entity mentions, 11 relations
  325af39d281d5903a269c01fab8f53d7400a4c49:  6648 words, 332 sentences, 402 entity mentions,  1 relations
  33261d252218007147a71e40f8367ed152fa2fe0:  3918 words, 195 sentences, 113 entity mentions,  1 relations
  3448e6a5039417dc1ae890efeca3bef5390ace7c:  6466 words, 333 sentences, 463 entity mentions,  6 relations
  35734e8724559fb0d494e5cba6a28ad7a3d5dd4d:  6578 words, 295 sentences, 372 entity mentions,  1 relations
  364c1a3df58d87cb40ab33fdf3831cf2862f3570:  7378 words, 348 sentences, 534 entity mentions,  2 relations
  3842ee1e0fdfeff936b5c49973ff21adfaaf3929:  4828 words, 198 sentences, 332 entity mentions,  1 relations
  38cc89399dd6f5aaab1654f27ab3c9eeade12a36:  5705 words, 245 sentences, 284 entity mentions,  1 relations
  38e2f851b705faa0d0a698ed9885bd6834440073:  6076 words, 290 sentences, 312 entity mentions,  1 relations
  3aa21de1a7c97e0458e10ed5730ce160bb436caa:  5755 words, 288 sentences, 264 entity mentions,  1 relations
  3acc07f7f8951617276cf99483ed02aeb0a6eeac:  6404 words, 301 sentences, 316 entity mentions,  1 relations
  3ca3993b1f3536b15112f759067f62e999c5d38f:  6385 words, 294 sentences, 241 entity mentions,  1 relations
  3cf31ecb2724b5088783d7c96a5fc0d5604cbf41:  6821 words, 292 sentences, 472 entity mentions,  6 relations
  3daa086acd367dc971a2dc1382caba2031294233:  8147 words, 354 sentences, 395 entity mentions,  1 relations
  408e8eecc14c5cc60bbdfc486ba7a7fc97031788:  5302 words, 275 sentences, 272 entity mentions,  2 relations
  4365eb43a635bc6431dfaf3af1f7bf7bf55522cc:  5042 words, 212 sentences, 373 entity mentions,  1 relations
  436b07bebaa1d1f05ef85415e10374048d25334d:  8415 words, 439 sentences, 502 entity mentions,  6 relations
  44078d0daed8b13114cffb15b368acc467f96351:  5337 words, 251 sentences, 381 entity mentions,  1 relations
  45429c281e30f9e87ebcd1ae42e0656d2ead24d1:  5936 words, 328 sentences, 373 entity mentions, 14 relations
  455da02e5048dffb51fb6ab5eb8aeca5926c9d9a:  9862 words, 528 sentences, 667 entity mentions,  1 relations
