================================================================================
Train: 400 units
  10491763: 1797 chars, 32 entity mentions,  9 entities,   3 relations
  27860185: 1796 chars, 39 entity mentions, 13 entities,   8 relations
  15867855: 1749 chars, 26 entity mentions,  8 entities,   5 relations
  26684240: 1699 chars, 56 entity mentions, 28 entities,  51 relations
  27707793: 1462 chars, 20 entity mentions,  8 entities,   5 relations
  21799811: 1925 chars, 16 entity mentions,  5 entities,   4 relations
  15951966: 1378 chars, 17 entity mentions,  4 entities,   2 relations
  17968299: 1761 chars, 21 entity mentions,  7 entities,   1 relations
  20126413: 2124 chars, 10 entity mentions,  5 entities,   1 relations
  27866394: 1751 chars, 38 entity mentions, 19 entities,  19 relations
  19624920: 1127 chars,  6 entity mentions,  2 entities,   0 relations
  29049388: 2089 chars, 37 entity mentions, 14 entities,  12 relations
  17345627: 1437 chars, 36 entity mentions, 13 entities,  16 relations
  20540798: 2270 chars, 29 entity mentions,  6 entities,   5 relations
  21130517: 2003 chars, 43 entity mentions,  6 entities,   6 relations
  28393239: 2319 chars, 41 entity mentions,  8 entities,   7 relations
  16018252: 2071 chars, 22 entity mentions,  7 entities,   5 relations
  16419642: 1824 chars, 31 entity mentions,  7 entities,   4 relations
  17943461: 1942 chars, 41 entity mentions, 21 entities,  19 relations
  21042587: 2464 chars, 46 entity mentions, 22 entities,  27 relations
  16051693: 1004 chars, 29 entity mentions, 10 entities,   5 relations
  19880293: 2520 chars, 49 entity mentions, 17 entities,   6 relations
  21903317: 1691 chars, 45 entity mentions, 16 entities,  12 relations
  27103577: 1968 chars, 35 entity mentions,  7 entities,   7 relations
  27491646: 1854 chars, 50 entity mentions, 23 entities,  15 relations
  16611040: 1589 chars, 15 entity mentions,  4 entities,   1 relations
  17033974: 1190 chars, 19 entity mentions,  9 entities,   6 relations
  24014394: 1191 chars, 34 entity mentions, 13 entities,  16 relations
  15018851: 1651 chars, 30 entity mentions, 12 entities,  10 relations
  17671735: 1290 chars, 30 entity mentions, 11 entities,   3 relations
  28518143: 1763 chars, 44 entity mentions, 19 entities,  31 relations
  17600377: 1370 chars, 31 entity mentions, 16 entities,  13 relations
  16181814: 1774 chars, 29 entity mentions,  7 entities,   3 relations
  20143913: 1121 chars, 13 entity mentions,  6 entities,   4 relations
  15579441: 1510 chars, 25 entity mentions, 10 entities,   5 relations
  15754732: 1962 chars, 36 entity mentions, 21 entities,  27 relations
  18385794: 2277 chars, 48 entity mentions, 15 entities,  23 relations
  25589620: 1992 chars, 52 entity mentions, 27 entities,   9 relations
  15086325: 1413 chars, 20 entity mentions,  8 entities,   7 relations
  19300402: 2096 chars, 52 entity mentions, 21 entities,  36 relations
  24288432: 1530 chars, 41 entity mentions, 21 entities,  20 relations
  28259923: 1608 chars, 41 entity mentions, 13 entities,  12 relations
  16000134:  885 chars, 18 entity mentions,  9 entities,   7 relations
  16225977: 1154 chars, 25 entity mentions, 13 entities,   9 relations
  20859899:  944 chars, 22 entity mentions, 14 entities,  17 relations
  15041272: 1564 chars, 31 entity mentions, 12 entities,   8 relations
  17395743: 1578 chars, 18 entity mentions,  6 entities,   7 relations
  27729412: 2012 chars, 40 entity mentions, 12 entities,  15 relations
  29183288: 2096 chars, 67 entity mentions, 24 entities,  33 relations
  20959502: 2161 chars, 44 entity mentions, 22 entities,  17 relations
  20682662: 1741 chars, 50 entity mentions,  8 entities,   3 relations
  23285048: 2039 chars, 41 entity mentions, 24 entities,  16 relations
  27663860: 1829 chars, 61 entity mentions,  8 entities,   8 relations
  27807193: 1500 chars, 23 entity mentions, 13 entities,   8 relations
  15069170: 1857 chars, 46 entity mentions, 16 entities,  13 relations
  17397547: 2875 chars, 70 entity mentions, 34 entities,  66 relations
  17445520: 1607 chars, 46 entity mentions,  7 entities,   2 relations
  23651211: 1907 chars, 56 entity mentions, 22 entities,  42 relations
  15991002: 1803 chars, 35 entity mentions,  7 entities,   4 relations
  16565833: 2317 chars, 44 entity mentions, 11 entities,   9 relations
  16680561: 1598 chars, 28 entity mentions,  6 entities,   6 relations
  16867021: 1929 chars, 48 entity mentions, 12 entities,  12 relations
  17042884: 2302 chars, 66 entity mentions, 10 entities,   5 relations
  17151160: 1856 chars, 34 entity mentions,  9 entities,   9 relations
  17255138: 1911 chars, 55 entity mentions, 13 entities,  21 relations
  17297207: 1961 chars, 63 entity mentions, 25 entities,   8 relations
  17384765: 1828 chars, 29 entity mentions,  8 entities,   9 relations
  17608141: 1506 chars, 35 entity mentions,  9 entities,  11 relations
  18162529: 1963 chars, 55 entity mentions, 15 entities,  21 relations
  18308784: 1665 chars, 35 entity mentions,  8 entities,   6 relations
  18951540: 1492 chars, 18 entity mentions,  5 entities,   1 relations
  19759529: 2080 chars, 46 entity mentions, 17 entities,  15 relations
  19914299: 1890 chars, 22 entity mentions,  7 entities,   4 relations
  20195852: 2203 chars, 51 entity mentions, 12 entities,   6 relations
  20621845: 1867 chars, 51 entity mentions, 10 entities,  10 relations
  23872883: 1533 chars, 34 entity mentions, 19 entities,  17 relations
  24333387: 1862 chars, 46 entity mentions, 19 entities,  16 relations
  24438483: 1725 chars, 41 entity mentions, 11 entities,  13 relations
  25119790: 1853 chars, 42 entity mentions, 22 entities,  17 relations
================================================================================
Test: 100 units
  15485686: 1815 chars, 30 entity mentions, 18 entities,  18 relations
  16046395: 1559 chars, 28 entity mentions,  8 entities,   3 relations
  18457324: 2397 chars, 67 entity mentions, 11 entities,  15 relations
   1848636: 1819 chars, 29 entity mentions,  9 entities,   7 relations
  19394258: 1610 chars, 22 entity mentions,  8 entities,   4 relations
  19565319: 1182 chars, 29 entity mentions, 10 entities,  11 relations
  20648600: 1744 chars, 53 entity mentions, 22 entities,  48 relations
  21976953: 1750 chars, 19 entity mentions,  7 entities,   3 relations
   2491010: 1582 chars, 21 entity mentions,  3 entities,   1 relations
  25006961: 1695 chars, 52 entity mentions, 12 entities,  12 relations
  27464336: 2278 chars, 47 entity mentions, 31 entities,  14 relations
   8829135: 1385 chars, 27 entity mentions, 12 entities,  12 relations
   9672936:  781 chars, 16 entity mentions,  6 entities,   2 relations
  18503483:  927 chars, 15 entity mentions, 10 entities,   6 relations
  26991973: 1712 chars, 26 entity mentions, 10 entities,   4 relations
  16112787: 1723 chars, 51 entity mentions, 13 entities,  15 relations
  21405999: 1538 chars, 27 entity mentions, 12 entities,  15 relations
  15233872: 1010 chars, 25 entity mentions,  7 entities,   7 relations
  17059986: 1781 chars, 34 entity mentions, 19 entities,  11 relations
  18991055: 1586 chars, 54 entity mentions, 21 entities,  11 relations
  20705401: 1974 chars, 54 entity mentions, 19 entities,  19 relations
  22369755: 1840 chars, 64 entity mentions, 30 entities,  32 relations
  27959387: 2084 chars, 47 entity mentions, 23 entities,  31 relations
  21684788: 1533 chars, 31 entity mentions, 17 entities,   8 relations
  26937641: 1399 chars, 38 entity mentions, 30 entities, 107 relations
  15464247: 1529 chars, 26 entity mentions,  9 entities,   2 relations
  15824163: 1796 chars, 26 entity mentions,  5 entities,   1 relations
  26900322: 1993 chars, 39 entity mentions,  7 entities,   5 relations
  16840830: 1375 chars, 29 entity mentions, 14 entities,   5 relations
  15668505: 1590 chars, 25 entity mentions,  9 entities,   7 relations
  26847345: 1960 chars, 35 entity mentions, 17 entities,  11 relations
  15818664: 2332 chars, 45 entity mentions, 12 entities,  10 relations
  22729903: 1575 chars, 28 entity mentions,  7 entities,   6 relations
  25277705: 2466 chars, 88 entity mentions, 37 entities,  45 relations
  15130900: 1809 chars, 28 entity mentions,  5 entities,   2 relations
  18257781: 1794 chars, 31 entity mentions,  9 entities,   4 relations
  20534762: 1862 chars, 25 entity mentions, 12 entities,  12 relations
  16970763: 1932 chars, 40 entity mentions, 14 entities,   6 relations
  19207031: 1847 chars, 42 entity mentions,  5 entities,   2 relations
  19276632: 1845 chars, 37 entity mentions, 14 entities,  17 relations
  21219851: 1804 chars, 26 entity mentions,  9 entities,   6 relations
  23069675: 2445 chars, 54 entity mentions, 20 entities,  15 relations
  25874935: 2158 chars, 53 entity mentions, 22 entities,  10 relations
  28846666: 2162 chars, 87 entity mentions, 31 entities,  43 relations
  15459975: 1178 chars, 15 entity mentions,  6 entities,   4 relations
  16330669: 2049 chars, 37 entity mentions, 11 entities,   7 relations
  19208385:  890 chars, 24 entity mentions, 11 entities,   5 relations
  19681452:  665 chars, 20 entity mentions, 11 entities,  13 relations
  20709368: 1533 chars, 39 entity mentions, 11 entities,   4 relations
  21879313: 1928 chars, 45 entity mentions, 13 entities,  23 relations
  27798239: 1616 chars, 32 entity mentions, 14 entities,  15 relations
  27993978: 1010 chars, 21 entity mentions,  5 entities,   5 relations
  15111599: 1612 chars, 15 entity mentions,  9 entities,   6 relations
  15820770: 1467 chars, 25 entity mentions, 11 entities,   9 relations
  16186368: 1847 chars, 27 entity mentions,  6 entities,   4 relations
  17511042:  938 chars, 20 entity mentions,  7 entities,   7 relations
  26110643: 2262 chars, 36 entity mentions, 19 entities,  23 relations
  18179903: 1447 chars, 38 entity mentions, 13 entities,   4 relations
  19353688: 1849 chars, 24 entity mentions,  8 entities,   2 relations
  21126715: 1431 chars, 25 entity mentions, 13 entities,   7 relations
  28068934: 1883 chars, 27 entity mentions,  9 entities,   5 relations
  16252083: 1663 chars, 32 entity mentions,  8 entities,   6 relations
  16820346: 1118 chars, 37 entity mentions,  9 entities,   7 relations
  17003923: 2076 chars, 36 entity mentions, 30 entities,  29 relations
  24671324:  905 chars, 22 entity mentions,  9 entities,  12 relations
  16116131:  630 chars,  9 entity mentions,  5 entities,   2 relations
  19484664: 1939 chars, 35 entity mentions,  7 entities,   1 relations
  26449539: 2435 chars, 70 entity mentions, 36 entities,  41 relations
  28481876: 1292 chars, 37 entity mentions, 13 entities,   8 relations
  16731636: 1510 chars, 29 entity mentions, 10 entities,  11 relations
  16849419: 1724 chars, 25 entity mentions, 12 entities,   6 relations
  19789368: 1976 chars, 59 entity mentions, 22 entities,  11 relations
  24442316: 2700 chars, 70 entity mentions, 21 entities,  21 relations
  28684635: 1429 chars, 30 entity mentions, 15 entities,   8 relations
  21750150: 1773 chars, 51 entity mentions, 10 entities,   8 relations
  16629641: 1347 chars, 33 entity mentions, 17 entities,  14 relations
  17166870: 1691 chars, 41 entity mentions, 10 entities,   7 relations
  17491223: 1625 chars, 15 entity mentions,  4 entities,   2 relations
  18507837: 2044 chars, 42 entity mentions, 24 entities,  11 relations
  26615423: 2407 chars, 52 entity mentions, 13 entities,   6 relations
  27384305: 1936 chars, 47 entity mentions, 14 entities,  11 relations
  15000256: 1182 chars, 20 entity mentions,  6 entities,   6 relations
  15811908: 1189 chars, 29 entity mentions, 10 entities,  17 relations
  19957053: 1461 chars, 19 entity mentions,  7 entities,   5 relations
  17935240: 1584 chars, 16 entity mentions,  5 entities,   3 relations
  18441470:  544 chars, 12 entity mentions,  6 entities,   4 relations
  15036754: 1716 chars, 62 entity mentions, 20 entities,  25 relations
  15673851: 1675 chars, 27 entity mentions, 10 entities,  12 relations
  15987266: 1604 chars, 35 entity mentions,  6 entities,   5 relations
  16428827: 1406 chars, 31 entity mentions, 11 entities,  10 relations
  16844102: 1239 chars, 43 entity mentions, 13 entities,  24 relations
  17562951: 2258 chars, 49 entity mentions,  9 entities,   6 relations
  17879945: 2044 chars, 39 entity mentions, 16 entities,  10 relations
  18399341: 1963 chars, 15 entity mentions,  5 entities,   1 relations
  18439803: 1786 chars, 45 entity mentions,  9 entities,  14 relations
  19531695: 1995 chars, 49 entity mentions, 15 entities,   8 relations
  24114426: 1846 chars, 32 entity mentions, 10 entities,   4 relations
  24717468: 1903 chars, 26 entity mentions,  5 entities,   5 relations
  24739405: 1716 chars, 31 entity mentions,  8 entities,   6 relations
  24840785: 2045 chars, 43 entity mentions, 14 entities,   8 relations
